"Model","Code name","Fab (nm)","Bus interface","Memory (MB)","Core clock (MHz)","Shader clock (MHz)","Memory clock (MHz)","Core config","Fillrate","Fillrate","Memory","Memory","Memory","Processing Power 
 GFLOPS","API support (version)","API support (version)","Nvidia Optimus 
 Technology","TDP (watts)","Notes"
"Model","Code name","Fab (nm)","Bus interface","Memory (MB)","Core clock (MHz)","Shader clock (MHz)","Memory clock (MHz)","Core config","Pixel (GP/s)","Texture (GT/s)","Bandwidth (GB/s)","Bus type","Bus width (bit)","Single precision","DirectX","OpenGL","Nvidia Optimus 
 Technology","TDP (watts)","Notes"
"Quadro K500M","GK107","28","PCIe 3.0 x16","1024","850","850","1600","192:16:8
(1 SMX)","6.8","13.6","12.8","DDR3","64","326.4","11.0","4.5","Yes","35",""
"Quadro K1000M","GK107","28","PCIe 3.0 x16","2048","850","850","1800","192:16:16
(1 SMX)","13.6","13.6","28.8","DDR3","128","326.4","11.0","4.5","Yes","45",""
"Quadro K2000M","GK107","28","PCIe 3.0 x16","2048","745","745","1800","384:32:16
(2 SMX)","11.92","23.84","28.8","DDR3","128","572.16","11.0","4.5","Yes","55",""
"Quadro K3000M","GK104","28","PCIe 3.0 x16","2048","654","654","2800","576:48:32
(3 SMX)","20.93","31.39","89.6","GDDR5","256","753.41","11.0","4.5","Yes","75",""
"Quadro K4000M","GK104","28","PCIe 3.0 x16","4096","600","600","2800","960:80:32
(5 SMX)","19.2","48","89.6","GDDR5","256","1152","11.0","4.5","Yes","100",""
"Quadro K5000M","GK104","28","PCIe 3.0 x16","4096","706","706","3000","1344:112:32
(7 SMX)","22.59","79.07","96","GDDR5","256","1897.73","11.0","4.5","Yes","100",""
