"Model","Code Name","Release Date","Processors Supported","Fabrication
process (nm)","FSB/HT
Frequency (MHz)","AGP","PCI-Express","SLI","PCI","USB","PATA","SATA","LAN","Sound","Features","Notes"
"nForce3 Professional 150/250","CK8","08/2003","AMD Opteron","150nm","HT 1.0
1.6 GHz","AGP 3.0 533 MT/s","No","No","6 Ports","8 Ports Rev 2.0","2 Ports UDMA 133","4 Ports 1.5Gbit/s","1000 Mbit/s","AC'97 2.1","MediaShield",""
"nForce Professional 2200 MCP","CK8-04","01/2005","AMD Opteron","150nm","HT 1 GHz
2000 MT/s","No","1.0a
20 lanes, 4 links flexible x16: 2 slots","x8+x8","5 Ports","10 Ports Rev 2.0","2 Ports UDMA 133","4 Ports 3.0Gbit/s","1000 Mbit/s","AC'97 2.3","MediaShield
RAID 0,1,0+1,5",""
"nForce Professional 2200 and 2050","CK8-04","01/2005","AMD Opteron","150nm","HT 1 GHz
2000 MT/s","No","1.0a
40 lanes, 8 links flexible x16: 2 slots","x16+x16","5 Ports","10 Ports Rev 2.0","2 Ports UDMA 133","8 Ports 3.0Gbit/s","2*1000 Mbit/s","AC'97 2.3","MediaShield
RAID 0,1,0+1,5",""
"nForce Professional 3400 MCP","MCP55 Pro","2006","AMD Opteron","","HT 1 GHz
2000 MT/s","No","1.0a
28 lanes, 6 links fixed x16: 2 slots","x8+x8","5 Ports","10 Ports Rev 2.0","1 Ports UDMA 133","6 Ports 3.0Gbit/s","2*1000 Mbit/s","HDA","MediaShield
RAID 0,1,0+1,5",""
"nForce Professional 3600 MCP","MCP55 Pro","2006","AMD Opteron","","HT 1 GHz
2000 MT/s","No","1.0a
28 lanes, 6 links fixed x16: 2 slots","x8+x8","5 Ports","10 Ports Rev 2.0","1 Ports UDMA 133","6 Ports 3.0Gbit/s","2*1000 Mbit/s","HDA","MediaShield
RAID 0,1,0+1,5",""
"nForce Professional 3600 and 3050","MCP55 Pro","2006","AMD Opteron","","HT 1 GHz
2000 MT/s","No","1.0a
56 lanes, 12 links flexible x16: 2 slots","x16+x16","5 Ports","10 Ports Rev 2.0","2 Ports UDMA 133","12 Ports 3.0Gbit/s","4*1000 Mbit/s","HDA","MediaShield
RAID 0,1,0+1,5",""
