"","","Trident","Tasman","Gecko","WebKit","KPart","Presto","Prince XML"
"GIF 87a","Interlacing","3.1","Yes","1.0","85","Yes","1.0","3.0"
"GIF 89a","Binary transparency","3.1","","1.0","85","","1.0","3.0"
"GIF 89a","Animation","3.1","","1.0","85","","1.0","3.0"
