"Desktop publishing software","Windows","Mac OS (X)","Linux","BSD","UNIX","Other"
"CorelDRAW","Yes","supported versions<11","No","No","No","No"
"Fatpaint","Yes","Yes","Yes","No","No","No"
"FrameMaker","Yes","supported versions<7","No","No","supported versions<8","No"
"InDesign","Yes","Yes","No","No","No","No"
"InPage","Yes","No","No","No","No","No"
"iStudio Publisher","No","Yes","No","No","No","No"
"LyX","Yes","Yes","Yes","Yes","Yes","OS/2"
"Microsoft Publisher","Yes","No","No","No","No","No"
"OpenOffice.org","Yes","Yes","Yes","Yes","Yes","No"
"PageMaker","Yes","Yes","No","No","No","No"
"PagePlus","Yes","No","No","No","No","No"
"Pages","No","Yes","No","No","No","No"
"PageStream","Yes","Yes","Yes","No","No","AmigaOS, MorphOS"
"QuarkXPress","Yes","Yes","No","No","No","No"
"RagTime","Yes","Yes","No","No","No","No"
"Ready,Set,Go!","Yes","Yes","No","No","No","No"
"Scribus","Yes","Yes","Yes","Yes","Yes","OS/2 Warp 4, eComStation, OpenIndiana, Solaris, Haiku"
"The Print Shop","Yes","Yes","No","No","No","No"
"Ventura","Yes","No","No","No","No","No"
"","","","","","",""
