"Products","Model","Launch","Code name","Fab (nm)","Transistors (Million)","Die Size (mm)","Bus interface","Memory (MB)","Clock rate","Clock rate","Config core","Fillrate","Fillrate","Memory","Memory","Memory","Processing Power
GFLOPS","Processing Power
GFLOPS","TDP (W)","TDP (W)","GFLOPS/W
Single Precision","API support (version)","API support (version)","API support (version)","Release Price (USD)"
"Products","Model","Launch","Code name","Fab (nm)","Transistors (Million)","Die Size (mm)","Bus interface","Memory (MB)","Core (MHz)","Memory (MHz)","Config core","Texture (GT/s)","Bandwidth (GB/s)","Bus type","Bus width (bit)","Single Precision","Double Precision","Idle","Max.","DirectX","GFLOPS/W
Single Precision","OpenCL","","","Release Price (USD)"
"P14","","","","","","","","","","","","","","","","","","","","","","","","",""
"P1","Radeon HD 5450","Feb 4, 2010","Cedar PRO","40","292","59","PCIe 2.1 x16
PCI-classic
PCIe 2.1 x1","512
1024
2048","650
650
650","400
800
800","80:8:4","2.6","5.2","6.4
12.8","DDR2
DDR3","64","104","No","6.4","19.1","5.45","11.0","4.4","1.2","~50"
"P2","Radeon HD 5550","Feb 9, 2010","Redwood LE","40","627","104","PCIe 2.1 x16","512
1024
2048","550
550
550","400
800
800","320:16:8","4.4","8.8","12.8
25.6
51.2","DDR2
GDDR3
GDDR5","128","352","No","10","39","9.03","11.0","4.4","1.2","~70"
"P3","Radeon HD 5570","Feb 9, 2010","Redwood PRO","40","627","104","PCIe 2.1 x16","512
1024
2048","650
650","400
900","400:20:8","5.2","13.0","12.8
28.8
57.6","DDR2
GDDR3
GDDR5","128","520","No","10","39","13.3","11.0","4.4","1.2","80"
"P4","Radeon HD 5610","May 14, 2011","Redwood PRO","40","627","104","","1024","650","500","400:20:8","5.2","13.0","16.0","GDDR3","128","520","","","39","","11.0","","1.2",""
"P5","Radeon HD 5670","Jan 14, 2010","Redwood XT","40","627","104","PCIe 2.1 x16","512
1024
2048","775
775","800
1000","400:20:8","6.2","15.5","25.6
64.0","GDDR3
GDDR5","128","620","No","15","64","9.69","11.0","4.4","1.2","99"
"P6","Radeon HD 5750","Oct 13, 2009","Juniper PRO","40","1040","166","PCIe 2.1 x16","512
1024","700
700","1150
1150","720:36:16","11.2","25.2","73.6","GDDR5","128","1008","No","16","86","11.72","11.0","4.4","1.2","129"
"P7","Radeon HD 5770","Oct 13, 2009","Juniper XT","40","1040","166","PCIe 2.1 x16","512
1024","850
850","1200
1200","800:40:16","13.6","34.0","76.8","GDDR5","128","1360","No","18","108","12.59","11.0","4.4","1.2","159"
"P8","Radeon HD 5830","Feb 25, 2010","Cypress LE","40","2154","334","PCIe 2.1 x16","1024","800","1000","1120:56:16","12.8","44.8","128.0","GDDR5","256","1792","358.4","25","175","10.24","11.0","4.4","1.2","239"
"P9","Radeon HD 5850","Sep 30, 2009","Cypress PRO","40","2154","334","PCIe 2.1 x16","1024
2048","725
725","1000
1000","1440:72:32","23.2","52.2","128.0","GDDR5","256","2088","417.6","27","151","13.83","11.0","4.4","1.2","259"
"P10","Radeon HD 5870","Sep 23, 2009","Cypress XT","40","2154","334","PCIe 2.1 x16","1024
2048","850
850","1200
1200","1600:80:32","27.2","68.0","153.6","GDDR5","256","2720","544","27","188
228","14.47
11.93","11.0","4.4","1.2","379"
"P11","Radeon HD 5870
Eyefinity Edition","Mar 11, 2010","Cypress XT","40","2154","334","PCIe 2.1 x16","2048","850","1200","1600:80:32","27.2","68.0","153.6","GDDR5","256","2720","544","27","228","11.93","11.0","4.4","1.2","479"
"P12","Radeon HD 5970","Nov 18, 2009","Hemlock XT","40","2154×2","334×2","PCIe 2.1 x16","1024×2
2048×2","725
725","1000
1000","1600:80:32×2","46.4","116.0","128×2","GDDR5","256×2","4640","928","51","294","15.78","11.0","4.4","1.2","599"
"P13","","","","","","","","","","","","","","","","","","","","","","","","",""
