"","CPU","RAM","Free disk space"
"Windows 95","386","4 MB","120 MB"
"Windows 98","486 DX2 66 MHz","16 MB","300 MB"
"Windows Me (Millennium Edition)","Pentium 150 MHz","32 MB","400 MB"
