"Browser","Browser","Browser","Browser","Browser","Browser","Browser","Browser","Browser","Browser"
"Feature","iOS","Android","Firefox OS","Windows Phone","BlackBerry 10","Mer","Tizen","Sailfish OS","Ubuntu Touch"
"Default web browser/engine","WebKit","Blink","Gecko","Trident (EdgeHTML after 10)","WebKit","WebKit","WebKit","Gecko","WebKit (in webbrowser-app)"
"Major web browser available","Safari, Chrome for iOS, Opera Mini","Chrome for Android, Opera, Firefox","Firefox OS Browser","Internet Explorer, Opera Mini, UC Browser, Microsoft Edge","BlackBerry 10 Browser, Opera Mini, Firefox","?","Tizen Browser (Based on UC Browser)","Sailfish Browser, Webcat (WebKit), Firefox (via Android)","Ubuntu Browser"
"Browser extensions","8+","No 3rd party software","No","No","No","No","No","No","No"
"Browser direct Internet connection (increased resilience to outages)","Yes","Yes","Yes","Yes","10+, 7.1 and older route through BlackBerry Internet Service, direct browsing supported over WiFi","Yes","Yes","?","?"
"Browser undo close tab","8+","3rd party software Google Chrome for Android","No","No","No","No","No","No","No"
"Browser keeps windows open on shutdown or crash","Yes","2.3+ Google Chrome but not on main browser","Yes","Yes","10+ Opens dialog for choosing which websites to restore after crash, option to restore all sites after restart","?","No","Yes","Yes"
"Browser keeps windows open when cleaning cookies","3rd party software","Yes","Yes","Yes","Yes","?","?","Yes","?"
"Browser search engine options","Bing, Google, Yahoo! Search, DuckDuckGo","Many","Google","Bing, Google support removed on some markets on 8.1 GDR1+","Bing, Dictionary.com, Google, Wikipedia, Yahoo, User Defined","?","?","Bing, Google, Yahoo, Yandex","?"
"Browser find on page","4.2+","1.5+","No","8+","Yes","?","?","1.1.2.16+","?"
"Browser/email save images","Yes","Yes","Yes","Yes","Yes","?","?","?","Yes"
"Browser/email save PDFs","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","When PDF app installed"
"Browser save audio/video","3rd party software","Yes, but only links, not embedded media","1.1+","8.1+","Yes (embedded media not supported)","?","Yes","?","Yes"
"Browser save page","6+: Offline Reading List; 3rd party software","No, Introduced on 4.0, but removed on 4.4","No","10+","Yes","?","?","?","?"
"Browser save any file","3rd party software","No, 3rd party software","No","8.1+","10+","?","?","Yes","When an app for the filetype is installed"
"Browser force enable zoom","Yes","No, not working anymore on Android 4.4","No","Yes, via accessibility settings","Yes,via accessibility settings","?","?","?","?"
"Browser text reflow","5+: Only on pages with reader mode available; 3rd party browsers on prior versions","No, removed on Android 4.4","Yes","Only on pages available on reading view on 8.1+","Yes 10+ Only in reader mode","?","No","No","?"
"Browser Reader Mode","5+","No, 3rd party software","No","8.1+","10+","?","?","No","?"
"Browser file upload","6+; 3rd party software","2.2+","1.1+","Yes","4.2+","?","Yes","1.0.7.16+","Yes"
"Browser form navigation","Previous, Next, AutoFill, and Done buttons","Next button","?","Yes","Yes","?","?","?","?"
"Browser private browsing mode","5+","3.0+ or with rooted devices and 3rd party firmware","No","8.1+","10+","?","?","No","?"
"Offline web apps","Yes","Yes","Yes","?","?","?","No","?","?"
"HTTP Live Streaming","3+","3+","No","No","10+","No","No","No","?"
