"Software","Microsoft Windows","Microsoft Windows","Microsoft Windows","Microsoft Windows","Microsoft Windows","Microsoft Windows","Microsoft Windows","Microsoft Windows","Microsoft Windows","Mac OS X","Linux","Linux","Linux","Linux","IBM","IBM","IBM","IBM","HP-UX","Solaris"
"Software","2000","XP","Vista","2003 Server","2008 R2 Server","2008 Server","2012 Server","7 – 64 bit","8 – 64 bit","Mac OS X","SUSE","Ubuntu","CentOS","AIX","OS/390","i5/OS","z/OS","","HP-UX","Solaris"
"Adeptia Integration Suite","Yes","Yes","Yes","Yes","","","","","","Yes","Yes","Yes","","","Yes","No","No","No","Yes","Yes"
"AdroitLogic UltraESB","Yes","Yes","Yes","Yes","","","","","","No","Yes","Yes","","","Yes","No","No","No","No","Yes"
"Apache Synapse","Yes","Yes","Yes","Yes","","","","","","","Yes","Yes","","","Yes","","","","","Yes"
"Artix ESB","with SP3, SP4","with SP1, SP2","","Yes","","","","","","No","Yes","Yes","","","Yes","","No","Yes","Yes","Yes"
"Automation Anywhere Integration Pack","Yes","Yes","Yes","Yes","","","","","","No","No","No","","","No","No","No","No","No","No"
"BizTalk Server","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","","","No","","No","No","No","No"
"Flow Software","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","No","No","No","","","No","No","No","No","No","No"
"JBoss Enterprise Service Bus (ESB)","Yes","Yes","Yes","Yes","","","","","","Yes","Yes","Yes","","","Yes","","","","Yes","Yes"
"JBoss Enterprise SOA Platform","Yes","Yes","Yes","Yes","","","","","","Yes","Yes","Yes","","","Yes","","","","Yes","Yes"
"Informatica Power Center","Yes","Yes","Yes","Yes","","","","","","","Yes","Yes","","","Yes","","Yes","Yes","Yes","Yes"
"Linx5","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No"
"Openadaptor","Yes","Yes","","Yes","","","","","","Yes","Yes","Yes","","","Yes","","","","Yes","Yes"
"OpenESB","Yes","Yes","","Yes","","","","","","Yes","Yes","Yes","","","Yes","No","No","No","Yes","Yes"
"OpenLink Virtuoso","Yes","Yes","","Yes","","","","","","","Yes","Yes","","","Yes","No","No","No","Yes","Yes"
"Oracle BPEL Process Manager","Yes","Yes","","Yes","Yes","","Yes","Yes","","","Yes","Yes","","","5L","","No","No","Yes","Yes"
"Oracle Enterprise Service Bus","Yes","Yes","","Yes","Yes","","Yes","Yes","","","Yes","Yes","","","Yes","","No","No","Yes","Yes"
"PEtALS ESB","Yes","Yes","","Yes","","","","","","Yes","Yes","Yes","","","Yes","No","No","No","Yes","Yes"
"SAP Exchange Infrastructure","Yes","Yes","Yes","Yes","","","","","","Yes","Yes","Yes","","","Yes","No","Yes","Yes","Yes","Yes"
"ServiceMix","Yes","with SP2","Yes","Yes","","","","","","Yes","Yes","Yes","","","Yes","No","No","No","Yes","Yes"
"Sonic ESB","Yes","Yes","Yes","Yes","","","","","","","Yes","Yes","","","Yes","No","No","No","Yes","Yes"
"Spagic","Yes","Yes","","Yes","","","","","","Yes","Yes","Yes","","","Yes","No","No","No","Yes","Yes"
"Sun Java Composite Application Platform Suite","Yes","Yes","","Yes","","","","","","","Yes","Yes","","","Yes","No","No","No","Yes","Yes"
"Talend ESB","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"TrackerSuite.Net","No","with SP2","Yes","Yes","","","","","","","","","","","","","","","",""
"Unify NXJ","with SP4","with SP1","","Yes","","","","","","No","Yes","Yes","","","5.3","","No","No","Yes","Yes"
"WebSphere Enterprise Service Bus and WebSphere Process Server","with SP4","with SP2","","with SP1","","","","","","","Yes","Yes","","","Yes","","Yes","Yes","Yes","Yes"
"WebSphere Message Broker","No","with SP1","Yes","Yes","","","","","","Yes","Yes","Yes","","","Yes","Yes","No","Yes","Yes","Yes"
"WSO2 Enterprise Service Bus (ESB)","Yes","Yes","Yes","Yes","","","","","","","Yes","Yes","","","Yes","","","","","Yes"
