"Model","Code Name","Release Date","Processors Supported","Fabrication
process (nm)","FSB/HT
Frequency (MHz)","Memory","PCI-Express","SLI","PCI","USB","PATA","SATA","LAN","Sound","Features","Notes"
"GeForce 9300","MCP7A","October 2008","Intel Core2, Pentium Dual-Core, Celeron
LGA 775","","1333 MHz","DDR3-1333
dual channel","2.0
20 lanes","No","5 Ports","12 Ports Rev 2.0","No","6 Ports 3.0Gbit/s","1000 Mbit/s","HDA","Onboard GeForce 9300",""
"GeForce 9400","MCP7A","October 2008","Intel Core2, Pentium Dual-Core, Celeron
LGA 775","","1333 MHz","DDR3-1333
dual channel","2.0
20 lanes","No","5 Ports","12 Ports Rev 2.0","No","6 Ports 3.0Gbit/s","1000 Mbit/s","HDA","Onboard GeForce 9400",""
