"Model","Launch","Model Number","Based on","Fab (nm)","Bus interface","Memory (MB)","Core clock (MHz)","Memory clock (MHz)","Config core","Fillrate","Fillrate","Memory","Memory","Memory","Processing Power
GFLOPs","API compliance (version)","API compliance (version)","Notes"
"Model","Launch","Model Number","Based on","Fab (nm)","Bus interface","Memory (MB)","Core clock (MHz)","Memory clock (MHz)","Config core","Pixel (GP/s)","Texture (GT/s)","Bandwidth (GB/s)","Bus type","Bus width (bit)","Single precision","DirectX","OpenGL","Notes"
"Mobility FireGL 7800","2001","M7-GL","Mobility Radeon 7500","180","AGP","64","280","200","0:2:2:2","0.56","0.56","6.4","DDR","128","Unknown","7","1.3",""
"Mobility FireGL 9000","2002","M9","Mobility Radeon 9000","150","AGP 4X","64","250","200","1:4:4:4","1","1","6.4","DDR","128","Unknown","8.1","1.3",""
"Mobility FireGL T2","2003","M10","Mobility Radeon 9600","130","AGP 4X","128","320","200","2:4:4:4","1.28","1.28","6.5","DDR","128","Unknown","9.0","2.0",""
"Mobility FireGL T2e","2004","M11GL","Mobility Radeon 9700","130","AGP","128","450","225","2:4:4:4","1.8","1.8","7.2","DDR","128","Unknown","9.0","2.0",""
"Mobility FireGL V3100","2004","M22GL","Mobility Radeon X300","110","PCIe x16","128","350","200","2:4:4:4","1.4","1.4","6.4","DDR","128","Unknown","9.0b","2.0",""
"Mobility FireGL V3200","2004","M24GL","Mobility Radeon X600","130","PCIe x16","128","400","250","2:4:4:4","1.6","1.6","12.8","DDR2","128","Unknown","9.0b","2.0",""
"Mobility FireGL V5000","2005","M26GL","Mobility Radeon X700","110","PCIe x16","128","350","425","6:8:8:8","2.8","2.8","13.6","GDDR3","128","Unknown","9.0b","2.0",""
"Mobility FireGL V5200","2006","M56GL","Mobility Radeon X1600","90","PCIe x16","256","425","475","5:12:12:12","5.1","5.1","15.2","GDDR3","128","Unknown","9.0c","2.0",""
"Mobility FireGL V5250","2007","M66GL","Mobility Radeon X1700","90","PCIe x16","256","450","350","5:12:12:12","5.4","5.4","11.2","GDDR3","128","Unknown","9.0c","2.0",""
"Mobility FireGL V5600","2007","M76GL","Mobility Radeon HD 2600","65","PCIe 2.0 x16","256","500","400","120(24×5):8:4","2","4","12.8","GDDR3","128","120","10.1","2.1",""
"Mobility FireGL V5700","2008","M86GL","Mobility Radeon HD 3650","55","PCIe 2.0 x16","512","600","700","120(24×5):8:4","2.4","4.8","22.4","GDDR3","128","144","10.1","2.1","Used in Lenovo ThinkPad W500"
"Mobility FireGL V5725","2008","M86GL","Mobility Radeon HD 3650","55","PCIe 2.0 x16","256","680","800","120(24×5):8:4","2.72","5.44","25.6","GDDR3","128","163.2","10.1 SM 4.1","2.1",""
