"Format","Languages"
"reverse string","Perl, Haskell"
"lists:reverse(string)","Erlang"
"strrev(string)","PHP"
"string[::-1]","Python"
"(string-reverse string)","Scheme (SRFI 13)"
"(reverse string)","Common Lisp"
"string.reverse","Ruby, D (modifies string)"
"new StringBuilder(string).reverse().toString()","Java"
"std::reverse(string.begin(), string.end());","C++ (std::string only, modifies string)"
"StrReverse(string)","VB"
"string.Reverse().ToString()","VB .NET, C#"
"implode (rev (explode string))","Standard ML"
"string.split("""").reverse().join("""")","JavaScript"
"string.reverse(string) 
 (string):reverse()","Lua"
"string reverse","Smalltalk"
"StringReverse[string]","Mathematica"
"reverse(string)","PL/I"
"«FUNCTION» REVERSE(string)","COBOL"
"string.toCharArray.toList.reversed.join()","Cobra"
"String(string.characters.reverse())","Swift (2.x)"
"String(reverse(string))","Swift (1.2)"
