"Products","Unit","Base","American","British","ANZAC","Soviet","French","German","Italian","Japanese",""
"P1","Artillery","10.5 cm leFH 18","","","","","","1942 Second Edition","","",""
"P2","Artillery","88mm Flak 36","","","","","","Europe","Europe 1940","",""
"P3","Artillery","105mm Howitzer","Europe","Europe","Pacific 1940","Europe","Europe 1940","","","",""
"P4","Artillery","152mm Howitzer","","","","Europe 1940 Second Edition","Europe 1940 Second Edition","","","",""
"P5","Artillery","BL 5.5 inch","","","1942 Second Edition","","","","","",""
"P6","Artillery","Cannone da 75/32","","","","","","","Europe 1940 Second Edition","",""
"P7","Artillery","Ordnance QF 25 pounder","","1942 Second Edition","","","","","","",""
"P8","Artillery","Type 92 70mm","","","","","","","Anniversary","Pacific",""
"P9","Mechanized Infantry","M5 Half-track","Pacific 1940","Pacific 1940","Pacific 1940","","","","","",""
"P10","Mechanized Infantry","Priest","","Pacific 1940 Second Edition","","","","","","",""
"P11","Mechanized Infantry","Ram-Kangaroo","","","Pacific 1940 Second Edition","","","","","",""
"P12","Mechanized Infantry","Sd.Kfz. 251","","","","","","Pacific 1940","Pacific 1940","Pacific 1940",""
"P13","Mechanized Infantry","SPA Dovunque-35","","","","","","","Pacific 1940 Second Edition","",""
"P14","Mechanized Infantry","Type 1","","","","","","","","Pacific 1940 Second Edition",""
"P15","Mechanized Infantry","ZIS-42","","","","Pacific 1940","Europe 1940","","","",""
"P16","Tank","AC Sentinel","","","Pacific 1940 Second Edition","","","","","",""
"P17","Tank","IS-2","1941","1941","","1941","","","","",""
"P18","Tank","M14/41","","","","","","","Anniversary","",""
"P19","Tank","M15/42","","","","","","","Europe 1940 Second Edition","",""
"P20","Tank","Matilda II","","Anniversary","Pacific 1940","","","","","",""
"P21","Tank","Panther","","","","","","Europe","Europe 1940","",""
"P22","Tank","Sherman","Europe","Europe","","","","","","",""
"P23","Tank","T-34","","","","Pacific","Europe 1940","","","",""
"P24","Tank","Tiger","","","","","","1941","","1941",""
"P25","Tank","Type 95","","","","","","","","Pacific",""
"P26","Truck","GMC 2 1/2-ton","Battle of the Bulge","","","","","","","",""
"P27","Truck","Opel 3-ton","","","","","","Battle of the Bulge","","",""
"P28","Antiaircraft Gun","(Generic)","Guadalcanal","","","","","","","Guadalcanal",""
"P29","Antiaircraft Gun","3.7in QFAA","","1942 Second Edition","","","","","","",""
"P30","Antiaircraft Gun","8.8cm Flak 41","","","","","","1942 Second Edition","","",""
"P31","Antiaircraft Gun","75mm Type 88","","","","","","","","1942 Second Edition",""
"P32","Antiaircraft Gun","85mm M1939","","","","1942 Second Edition","Europe 1940 Second Edition","","","",""
"P33","Antiaircraft Gun","90mm M1","1942 Second Edition","","","","","","","",""
"P34","Antiaircraft Gun","L/70 40mm","","","Pacific 1940 Second Edition","","","","","",""
"P35","Antiaircraft Gun","Cannone da 90/53","","","","","","","Pacific 1940 Second Edition","",""
"P36","Transport","Baltic Timber Ship","","","","Europe 1940 Second Edition","Europe 1940 Second Edition","","","",""
"P37","Transport","Fort class","1941","1941","","1941","","","","",""
"P38","Transport","Hakusan Maru class","","","","","","","","Pacific",""
"P39","Transport","Hilfskreuzer","","","","","","Europe","Anniversary","",""
"P40","Transport","Iridio Mantovani","2}}","","","","","","","Pacific 1940 Second Edition",""
"P41","Transport","Liberty ship","Europe","Europe","Pacific 1940","Pacific 1940","Pacific 1940","","","",""
"P42","Transport","Monowai","","","Pacific 1940 Second Edition","","","","","",""
"P43","Transport","Yamazuki Maru class","","","","","","1941","","1941",""
"P44","Destroyer","Akizuki class","","","","","","1941","","1941",""
"P45","Destroyer","Fubuki class","","","","","","","","Pacific",""
"P46","Destroyer","Gnevny class","","","","1942","Europe 1940","","","",""
"P47","Destroyer","Johnston class","Europe","Europe","Pacific 1940","Europe","","","","",""
"P48","Destroyer","Saumarez","","1942 Second Edition","","","","","","",""
"P49","Destroyer","Soldati class","","","","","","","Pacific 1940 Second Edition","",""
"P50","Destroyer","Sumner class","1941","1941","","1941","","","","",""
"P51","Destroyer","Tribal class","","","Pacific 1940 Second Edition","","","","","",""
"P52","Destroyer","Zerstörer 1934","","","","","","Europe","Anniversary","",""
"P53","Submarine","I class","","","","","","","","Pacific",""
"P54","Submarine","Kaichu class","","","","","","1941","","1941",""
"P55","Submarine","Marconi class","","","","","","","Pacific 1940 Second Edition","",""
"P56","Submarine","Ray class","Europe","Europe","Pacific 1940","Europe","Europe 1940","","","",""
"P57","Submarine","S class","","","Pacific 1940 Second Edition","","","","","",""
"P58","Submarine","Srednyaya class","","","","Europe 1940 Second Edition","Europe 1940 Second Edition","","","",""
"P59","Submarine","Truculent","","1942 Second Edition","","","","","","",""
"P60","Submarine","U class","1941","1941","","1941","","","","",""
"P61","Submarine","Type VII","","","","","","Europe","Anniversary","",""
"P62","Cruiser","Admiral Hipper class","","","","","","Anniversary","Anniversary","",""
"P63","Cruiser","Kent class","","Anniversary","Pacific 1940","Anniversary","","","","",""
"P64","Cruiser","Kirov class","","","","1942","Europe 1940","","","",""
"P65","Cruiser","Portland class","Guadalcanal","","","","","","","",""
"P66","Cruiser","Takao class","","","","","","","","Guadalcanal",""
"P67","Cruiser","Zara class","","","","","","","Europe 1940 Second Edition","",""
"P68","Carrier","Japanese aircraft carrier|Akagi","2}}","","","","","","1941","","1941"
"P69","Carrier","Italian aircraft carrier|Aquila","2}}","","","","","","","Europe 1940 Second Edition",""
"P70","Carrier","German aircraft carrier|Graf Zeppelin","2}}","","","","","","Europe","Anniversary",""
"P71","Carrier","Illustrious class","","Europe","Pacific 1940","Europe","Europe 1940","","","",""
"P72","Carrier","Kostromitinova class","1941","1941","","1941","","","","",""
"P73","Carrier","Majestic class","","","1942 Second Edition","","","","","",""
"P74","Carrier","Japanese aircraft carrier|Shinano","2}}","","","","","","","","Pacific"
"P75","Carrier","Wasp","Europe","","","","","","","",""
"P76","Battleship","Bismarck class","","","","","","Europe","Anniversary","",""
"P77","Battleship","Gangut class","","","","1942","Europe 1940","","","",""
"P78","Battleship","Hood","1941","1941","","1941","","","","",""
"P79","Battleship","Iowa class","Europe","","","","","","","",""
"P80","Battleship","Kongo class","","","","","","1941","","1941",""
"P81","Battleship","Littorio class","","","","","","","Europe 1940 Second Edition","",""
"P82","Battleship","Royal Oak class","","Europe","Pacific 1940","Europe","","","","",""
"P83","Battleship","Warspite","","","1942 Second Edition","","","","","",""
"P84","Battleship","Yamato class","","","","","","","","Pacific",""
"P85","Fighter","C.202","","","","","","","Europe 1940 Second Edition","",""
"P86","Fighter","CA-12","","","Pacific 1940 Second Edition","","","","","",""
"P87","Fighter","Fw-190","","","","","","1941","","1941",""
"P88","Fighter","Me-109","","","","","","Anniversary","Anniversary","",""
"P89","Fighter","MiG-3","","","","Pacific 1940 Second Edition","Pacific 1940 Second Edition","","","",""
"P90","Fighter","P-38 Lightning","Europe","","","","","","","",""
"P91","Fighter","P-40 Warhawk","1941","1941","","1941","","","","",""
"P92","Fighter","Spitfire","","Europe","Pacific 1940","","","","","",""
"P93","Fighter","Stuka","","","","","","Europe","","",""
"P94","Fighter","Wildcat","Pacific","","","","","","","",""
"P95","Fighter","Yak","","","","Europe","Europe 1940","","","",""
"P96","Fighter","Zero","","","","","","","","Pacific",""
"P97","Tactical Bomber","Dauntless","Pacific 1940","","","","","","","",""
"P98","Tactical Bomber","Mosquito","","Pacific 1940","Pacific 1940","","","","","",""
"P99","Tactical Bomber","SM.79","","","","","","","Europe 1940 Second Edition","",""
"P100","Tactical Bomber","Stuka","","","","","","Europe 1940","Europe 1940","",""
"P101","Tactical Bomber","Sturmovik","","","","Europe 1940","Europe 1940","","","",""
"P102","Tactical Bomber","TB.Mk.I","","","Pacific 1940 Second Edition","","","","","",""
"P103","Tactical Bomber","Val","","","","","","","","Pacific",""
"P104","Bomber","B-17","Europe","","","","","","","",""
"P105","Bomber","Betty","","","","","","","Anniversary","Pacific",""
"P106","Bomber","Halifax","","Europe","Pacific 1940","","","","","",""
"P107","Bomber","He-111","","","","","","1941","","1941",""
"P108","Bomber","Ju-88","","","","","","Europe","Europe 1940","",""
"P109","Bomber","Lancaster","1941","1941","","1941","","","","",""
"P110","Bomber","P.108","","","","","","","Europe 1940 Second Edition","",""
"P111","Bomber","Pe-8","","","","Europe","Europe 1940","","","",""
"P112","Bomber","PV-1","","","Pacific 1940 Second Edition","","","","","",""
