"Products","Configuration","Model","Archi-
tecture","# of GPUs","Core clock
(MHz)","Shaders","Shaders","Memory","Memory","Memory","Memory","Memory","Processing Power (peak) 
 GFLOPS","Processing Power (peak) 
 GFLOPS","Processing Power (peak) 
 GFLOPS","Compute capability","TDP (watts)","Notes/Form factor",""
"Products","Configuration","Model","Archi-
tecture","# of GPUs","Core clock
(MHz)","Thread Processors
(total)","Clock (MHz)","Bus type","Bus width
(bit)","Memory
(MB)","Clock (MHz)","Bandwidth
(total)
(GB/s)","Single Precision(SP) Total(MUL+ADD+SF)","Single Precision(SP) MAD(MUL+ADD)","Double Precision(DP) FMA","Compute capability","TDP (watts)","Notes/Form factor",""
"P22","","","","","","","","","","","","","","","","","","",""
"P1","C870
GPU Computing Module","C870","G80","1","600","128","1350","GDDR3","384","1536","1600","76.8","518.4","345.6","0","1.0","170.9","Internal GPU 
 (Full-height card)",""
"P2","D870
Deskside Computer","D870","G80","2","600","256","1350","GDDR3","384","2x1536","1600","153.6","2x 518.4","2x 345.6","0","1.0","520","Deskside External GPUs",""
"P3","S870
GPU Computing Server","S870","G80","4","600","512","1350","GDDR3","384","4x 1536","1600","307.2","4x 518.4","4x 345.6","0","1.0","","1U Rackmount External GPUs",""
"P4","C1060
GPU Computing Module","C1060","GT200","1","602","240","1300","GDDR3","512","4096","1600","102.4","933.12","622.08","77.76","1.3","187.8","Internal GPU 
 (Full-height card)",""
"P5","Quadro Plex Visual Computing System","2200 D2","GT200GL","2","648","2 x 240 (480)","1296","GDDR3","512","2x 4096 (8192)","1600","2x 102.4","2x 933.12","2x 622.08","2x 77.76","1.3","","4 dual-link DVI
Deskside or 3U rackmount",""
"P6","Quadro Plex Visual Computing System","2200 S4","GT200GL","4","648","4 x 240 (960)","1296","GDDR3","512","4x 4096 (16384)","1600","4x 102.4","4x 933.12","4x 622.08","4x 77.76","1.3","","display readback Via PCI-Express Gen 2.0
1U server",""
"P7","S1070
GPU Computing Server","S1070","GT200","4","602","4 x 240 (960)","1440/1296","GDDR3","512","4x4096","1538.4","4x 98.5","4x 1036.8","4x 691.2","4x 86.4","1.3","800","1U Rackmount External GPUs
connect via 2x PCIe (x8 or x16)",""
"P8","S1075
GPU Computing Server","S1075","GT200","4","602","4x 240 (960)","1500","GDDR3","512","4x 4096","1600","4x 102.4","4x 1036.8","4x 691.2","4x 86.4","1.3","","1U Rackmount External GPUs
connect via 1x PCIe (x8 or x16)",""
"P9","C2050
GPU Computing Module","C2050","GF100","1","575","448","1150","GDDR5","384","3072","3000","144","1288","1030.4","515.2","2.0","238","Internal GPU
(Full-height card)",""
"P10","C2070
GPU Computing Module","C2070","GF100","1","575","448","1150","GDDR5","384","6144","3000","144","1288","1030.4","515.2","2.0","247","Full-height video card
IEEE 754-2008 FMA capabilities",""
"P11","C2075
GPU Computing Module","C2075","GF100","1","575","448","1150","GDDR5","384","6144","3000","144","1288","1030.4","515.2","2.0","225","Full-height video card
IEEE 754-2008 FMA capabilities",""
"P12","M2050
GPU Computing Module","M2050","GF100","1","575","448","1150","GDDR5","384","3072","3092","148.4","1288","1030.4","515.2","2.0","225","Computing Module 
IEEE 754-2008 FMA capabilities",""
"P13","M2070/M2070Q
GPU Computing Module","M2070/M2070Q","GF100","1","575","448","1150","GDDR5","384","6144","3132","150.336","1288","1030.4","515.2","2.0","225","Computing Module
IEEE 754-2008 FMA capabilities",""
"P14","M2090
GPU Computing Module","M2090","GF110","1","650","512","1300","GDDR5","384","6144","3700","177.4","1664","1331.2","665.6","2.0","250","Computing Module 
IEEE 754-2008 FMA capabilities",""
"P15","S2050
GPU Computing Server","S2050","GF100","4","575","4x 448 (1792)","1150","GDDR5","384","12288","3092","4x 148.4 (593.6)","5152","4121.6","2060.8","2.0","900","1U Rack
IEEE 754-2008 FMA capabilities",""
"P16","K10
GPU Computing Module","K10","GK104","2","745","2x 1536 (3072)","745","GDDR5","2x 256","2x 4096","5000","2x 160 (320)","5340","4577","190","3.0","250W","Internal GPU
(Full-height card)",""
"P17","K20
GPU Computing Module","K20","GK110","1","705","2496 FP32, 832 FP64","705","GDDR5","320","5120","5200","208","4106","3519","1173","3.5","225W","Internal GPU
(Full-height card)",""
"P18","K20X
GPU Computing Module","K20X","GK110","1","732","2688 FP32, 896 FP64","732","GDDR5","384","6144","5200","250","4591","3935","1312","3.5","235W","Internal GPU
(Full-height card)",""
"P19","K40
GPU Computing Module","K40","GK110B","1","745","2880 FP32, 960 FP64","745","GDDR5","384","12288","6000","288","5364","4291","1430","3.5","235W","Internal GPU
(Full-height card)",""
"P20","K80
GPU Computing Module","K80","GK210","2","745","2 x 2496 (4992)","562","GDDR5","2 x 384","2 x 12288","5000","2 x 240","8740","6992","2330","3.7","300W","Internal GPU
(Full-height card)",""
"P21","","","","","","","","","","","","","","","","","","",""
