"","Creator","User interface","Software license"
"Cain and Abel","Massimiliano Montoro","GUI","Freeware"
"Capsa Free Edition","Colasoft","GUI","Proprietary"
"Carnivore","Federal Bureau of Investigation","?","N/A"
"Clarified Analyzer","Clarified Networks","GUI","Proprietary"
"Clusterpoint Network Traffic Surveillance System","Clusterpoint","web GUI","Proprietary"
"CommView","TamoSoft","GUI","Proprietary"
"dSniff","Dug Song","CLI","BSD License"
"EtherApe","Juan Toledo","GUI","GNU General Public License"
"Ettercap","ALoR and NaGA","Both","GNU General Public License"
"justniffer","The Justniffer team","CLI","GNU General Public License"
"Kismet","Mike Kershaw (dragorn)","CLI","GNU General Public License"
"LANMeter","Fluke Corporation","handheld?","?"
"netsniff-ng","Daniel Borkmann","CLI","GNU General Public License"
"ngrep","Jordan Ritter","CLI","BSD-style"
"Microsoft Network Monitor","Microsoft","GUI","Proprietary"
"Observer","Network Instruments","GUI","Proprietary"
"OmniPeek (formerly AiroPeek, EtherPeek)","WildPackets","GUI","Proprietary"
"SteelCentral Transaction Analyzer","OPNET Technologies/Riverbed Technology","GUI","Proprietary"
"snoop","Sun Microsystems","CLI","CDDL"
"tcpdump","The Tcpdump team","CLI","BSD License"
"Wireshark (formerly Ethereal)","The Wireshark team","Both","GNU General Public License"
"Xplico","The Xplico team","Both","GNU General Public License"
