"Company","Software","On-demand scan","On-access scan","Firewall","AntiSpam","Web protection","Privacy Advisor","AntiTheft","Call/SMS Filtering","Backup","Parental Control","Support","AV Comparatives","AV-TEST","License","Price","First release","Country of origin","Notes"
"AhnLab","AhnLab Mobile Security","Yes","Yes","No","Yes","No","No","Yes","No","No","No","No","Yes","Yes","Proprietary","?","2010","South Korea",""
"Avast","Avast Mobile Security","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Proprietary","Free","2011","Czech Republic",""
"Avast","Avast Premier Mobile Security","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Proprietary","Non-free","2013","Czech Republic",""
"AVG Technologies (Grisoft)","AVG AntiVirus FREE for Android","Yes","Yes","No","No","No","No","Yes","Yes","No","No","No","No","Yes","Proprietary","Free","2010","Czech Republic",""
"Avira Operations","Avira Free Android Security","Yes","Yes","No","Yes","No","No","Yes","Yes","No","Yes","Yes","No","Yes","Proprietary","Free","2004","Germany",""
"BlackBelt SmartPhone Defence","BlackBelt Mobile Security","Yes","Yes","No","Yes","No","No","Yes","Yes","No","No","No","No","No","Proprietary","Non-free","2012","United Kingdom",""
"BluePoint Security","BluePoint Security PE","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","Proprietary","Non-free","2012","United States",""
"BullGuard","BullGuard Mobile Security","Yes","Yes","No","No","No","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Proprietary","Non-free","2009","United Kingdom",""
"Comodo Group","Comodo Mobile Security","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Proprietary","Free","2012","United States",""
"Dr. Web","Dr. Web Mobile Security Suite","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","Yes","No","Yes","Proprietary","Trialware","2010","Russia",""
"ESET","ESET Mobile Security","Yes","Yes","No","Yes","Partially, only Anti-Phishing","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Proprietary","Freemium","2011","Slovakia",""
"F-Secure","F-Secure Mobile Security","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Proprietary","Non-free","2010","Finland",""
"G Data Software","G Data MobileSecurity","Yes","Yes","No","No","No","No","No","No","No","No","Yes","No","Yes","Proprietary","Non-free","2012","Germany",""
"GFI Software","VIPRE Mobile Security","Yes","Yes","No","No","No","Yes","Yes","No","Yes","No","Yes","No","Yes","Proprietary","Freemium","2011","Malta",""
"iS3","STOPzilla Mobile Security","Yes","Yes","No","No","Yes","Yes","Yes","No","No","No","Yes","No","No","Proprietary","Trialware","2012","United States",""
"Kaspersky Lab","Kaspersky Mobile Security","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Proprietary","Non-free","2011","Russia",""
"Kaspersky Lab","Kaspersky Tablet Security","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Proprietary","Non-free","2011","Russia",""
"LabMSF","LabMSF Antivirus","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","Proprietary","Free","2012","Poland",""
"Lookout Mobile Security","Lookout Mobile Security","Yes","Yes","No","No","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Proprietary","Freemium","2011","United States",""
"McAfee","McAfee Mobile Security","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Proprietary","Non-free","2011","United States",""
"MYMobileSecurity","MYAndroid Protection","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","No","No","No","Proprietary","Non-free","2009","United Kingdom",""
"PSafe","PSafe TOTAL Android","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Proprietary","Free","2013","Brazil",""
"Qihoo 360","360 Mobilesafe","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Proprietary","Free","2009","China",""
"Rising","Rising Mobile Security","Yes","No","No","No","No","Yes","No","Yes","No","No","No","No","No","Proprietary","Free","?","China",""
"Quick Heal","Quick Heal Total Security","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Proprietary",":Template:Free Trial","2012","India",""
"Bitdefender","Bitdefender Mobile Security","Yes","Yes","No","No","Yes","Yes","Yes","No","No","No","No","Yes","Yes","Proprietary","Freemium","2011","Romania",""
"Sophos","EndUser Protection","Yes","Yes","No","No","No","Yes","Yes","No","No","No","No","Yes","Yes","Proprietary","Non-free","2011","United Kingdom",""
"Sourcefire","FireAMP Mobile","Yes","Yes","No","No","No","No","No","No","No","No","Yes","No","No","Proprietary","?","2012","United States",""
"SnapOne","SnapSecure","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","Proprietary","Non-free","2012","United States",""
"Symantec","Norton Mobile Security","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Proprietary","Non-free","2011","United States",""
"Total Defense","Total Defense Mobile Security","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","Proprietary","Non-free","2012","United States",""
"Trend Micro","Trend Micro Mobile Security","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Proprietary","Non-free","2012","Japan",""
