"Model","Code name","Fab (nm)","Bus interface","Memory (MB)","Core clock (MHz)","Shader clock (MHz)","Memory clock (MHz)","Core config","Fillrate","Fillrate","Memory","Memory","Memory","Processing Power
GFLOPS","Processing Power
GFLOPS","API support (version)","API support (version)","TDP (watts)","Notes"
"Model","Code name","Fab (nm)","Bus interface","Memory (MB)","Core clock (MHz)","Shader clock (MHz)","Memory clock (MHz)","Core config","Pixel (GP/s)","Texture (GT/s)","Bandwidth (GB/s)","Bus type","Bus width (bit)","Single Precision","Double Precision","DirectX","OpenGL","TDP (watts)","Notes"
"Quadro K420","GK107","28","PCIe 2.0 x16","1024","780","780","1800","192:16:16
(1 SMX)","12.48","12.48","14.4","DDR3","128","299.52","","11.0","4.5","41",""
"Quadro K620","GM107","28","PCIe 2.0 x16","2048","1000","1000","900
(1800)","384:24:16
(3 SMM)","16.0","24.0","28.8","DDR3","128","768.0","","11.0","4.5","45","6.3"" Card"
"Quadro K1200","GM107","28","PCIe 2.0 x16","4096","","","","512:32:16
(4 SMM)","","","","GDDR5","128","","","11.0","4.5","45","7.97"" Card"
"Quadro K2200","GM107","28","PCIe 2.0 x16","4096","1000","1000","1250
(5000)","640:40:16
(5 SMM)","16","40","80","GDDR5","128","1280.0","","11.0","4.5","68","7.97"" Card"
"Quadro K4200","GK104","28","PCIe 2.0 x16","4096","780","780","1350
(5400)","1344:112:32
(7 SMX)","24.96","87.36","172.8","GDDR5","256","2096.64","87.36","11.0","4.5","105","9.5"" Card"
"Quadro K5200","GK110B","28","PCIe 3.0 x16","8192","650","650","1500
(6000)","2304:192:32
(12 SMX)","20.8","124.8","192","GDDR5","256","2995.2","124.8","11.0","4.5","150","10.5"" Card"
