"","Question
(""What"")","Indication
(""That"")","Indefinite
(""Some"")","Universal
(""Each, every"")","Negative
(""No"")",""
"","ki","ti","i","ĉi","neni",""
"Quality","a","what a
kia
quala","such a
tia
tala","some kind of
ia
ulspeca","every kind of
ĉia
omnaspeca","no kind of
nenia
nulspeca"
"Quality","a","what a
kia
quala","such a
tia
tala","some kind of
ia
ulspeca","every kind of
ĉia
omnaspeca","no kind of
nenia
nulspeca"
"Reason","al","why
kial
pro quo","for that reason
tial
konseque","for some reason
ial
ulakauze","for every reason
ĉial
omnakauze","for no reason
nenial
nulakauze"
"Time","am","when
kiam
kande","then
tiam
lore","sometime
iam
ulatempe","always
ĉiam
sempre","never
neniam
nultempe"
"Place","e","where
kie
ube","there
tie
ibe","somewhere
ie
ulube/ulloke","everywhere
ĉie
omnube/omnaloke","nowhere
nenie
nulube/nulloke"
"Manner","el","how, as
kiel
quale","thus, as
tiel
tale","somehow
iel
ule","in every way
ĉiel
omne","in no way
neniel
nule"
"Association","es","whose
kies
di quo","that one's
ties
di to","someone's
ies
di ulu","everyone's
ĉies
di omnu","no one's
nenies
di nulu"
"Thing","o","what
kio
quo","that
tio
to","something
io
ulo","everything
ĉio
omno","nothing
nenio
nulo"
"Amount","om","how much
kiom
quanta","that much
tiom
tanta","some, a bit
iom
ulquanta","all of it
ĉiom
omnaquanta","none of it
neniom
nulquanta"
"Individual","u","who, which one
kiu
qua","that person, that one
tiu
ta","someone, some
iu
ulu, ula","everyone, all
ĉiu
omnu, omna","no one, none
neniu
nulu, nula"
