"Model","Code name","Fab (nm)","Bus interface","Memory (MB)","Core clock (MHz)","Shader clock (MHz)","Memory clock (MHz)","Core config","Fillrate","Fillrate","Memory","Memory","Memory","Processing Power
GFLOPS","Processing Power
GFLOPS","API support (version)","API support (version)","TDP (watts)","Notes"
"Model","Code name","Fab (nm)","Bus interface","Memory (MB)","Core clock (MHz)","Shader clock (MHz)","Memory clock (MHz)","Core config","Pixel (GP/s)","Texture (GT/s)","Bandwidth (GB/s)","Bus type","Bus width (bit)","Single Precision","Double Precision","DirectX","OpenGL","TDP (watts)","Notes"
"Quadro FX 380","G96","65","PCIe 2.0 x16","256","450","1100","1400","16:8:8","3.6","3.6","22.4","GDDR3","128","52.8","-","10.0","3.3","34","Two Dual Link DVI, no DisplayPort"
"Quadro FX 380 LP","GT218GL","40","PCIe 2.0 x16","512","589","1402","1600","16:8:4","2.356","4.712","12.8","GDDR3","64","67.296","-","10.1","3.3","28","DisplayPort, Dual Link DVI"
"Quadro FX 580","G96","65","PCIe 2.0 x16","512","450","1125","1600","32:16:8","3.6","7.2","25.6","GDDR3","128","108","-","10.0","3.3","40","Dual DisplayPort, Dual Link DVI"
"Quadro FX 1800","G100GL-U(G94)","65","PCIe 2.0 x16","768","550","1375","1600","64:32:12","6.6","17.6","38.4","GDDR3","192","264","-","10.0","3.3","59","Stereo DP Dual Link DVI, Dual DisplayPort, SLI"
"Quadro FX 3800","GT200GL","55","PCIe 2.0 x16","1024","602","1204","1600","192:64:16","9.632","38.528","51.2","GDDR3","256","693.504","86.688","10.0","3.3","108","Stereo DP Dual Link DVI, Dual DisplayPort, SLI"
"Quadro FX 4800","GT200GL","55","PCIe 2.0 x16","1536","602","1204","1600","192:64:24","14.448","38.528","76.8","GDDR3","384","693.504","86.688","10.0","3.3","150","Stereo DP Dual Link DVI, Dual DisplayPort, SLI"
"Quadro FX 5800","GT200GL","55","PCIe 2.0 x16","4096","648","1296","1600","240:80:32","20.736","51.840","102.4","GDDR3","512","933.12","116.64","10.1","3.3","189","Stereo DP two Dual Link DVI, DisplayPort, SLI"
"Quadro CX","GT200GL","55","PCIe 2.0 x16","1536","602","1204","1600","192:64:24","14.448","38.528","76.8","GDDR3","384","693.504","86.688","10.0","3.3","150","Display Port and dual-link DVI Output, optimised for Adobe Creative Suite 4"
