"Name","Windows","Mac OS X","GNU/Linux","BSD","Unix"
"AMudClient","No","No","Yes","No","Yes"
"Atlantis","No","Yes","No","No","No"
"CMUD","Yes","No","No","No","No"
"GGMUD","Yes","Yes","Yes","Yes","Yes"
"GMUD","Yes","No","No","No","No"
"Gnome-Mud","No","No","Yes","No","No"
"JamochaMUD","PFI","PFI","PFI","PFI","PFI"
"KBtin","No","Yes","Yes","Yes","Yes"
"KildClient","Yes","Yes","Yes","Yes","Yes"
"KMuddy","No","Yes","Yes","Yes","No"
"Lyntin","PFI","PFI","PFI","PFI","PFI"
"mcl","No","No","Yes","No","No"
"muby","No","PFI","PFI","PFI","PFI"
"Mudlet","Yes","Yes","Yes","Yes","Yes"
"MudMagic","Yes","Yes*","Yes","Yes","Yes"
"MUSHclient","Yes","No","No","No","No"
"Portal","Yes","No","No","No","No"
"Potato","PFI","PFI","PFI","PFI","PFI"
"Powwow","Yes","Yes","Yes","Yes","Yes"
"Pueblo/UE","Yes","No","No","No","No"
"SimpleMU","Yes","No","No","No","No"
"Soiled","PFI","PFI","PFI","PFI","PFI"
"TinTin++","Yes","Yes","Yes","Yes","Yes"
"TinyFugue","Yes","Yes","Yes","Yes","Yes"
"Tortilla","Yes","No","No","No","No"
"Trebuchet","PFI","PFI","PFI","PFI","PFI"
"Wintin.Net","Windows 8 requires beta","No","No","No","No"
"zMUD","Yes","No","No","No","No"
