"Model","Release Date","Processors Supported","Fabrication
process (nm)","FSB/HT
Frequency (MHz)","Memory","Max. memory","AGP","Southbridge","Features","Notes"
"nForce 215","2001","Athlon XP, Athlon, Duron","","266 MHz, 200 MHz","DDR266
single channel","1.5 GB","AGP 4×","MCP
MCP-D","",""
"nForce 220","2001","Athlon XP, Athlon, Duron","","266 MHz, 200 MHz","DDR266
dual channel","1.5 GB","AGP 4×","MCP
MCP-D","Geforce 2 MX IGP",""
"nForce 415","2001","Athlon XP, Athlon, Duron","","266 MHz, 200 MHz","DDR266
single channel","1.5 GB","AGP 4×","MCP
MCP-D","",""
"nForce 420","2001","Athlon XP, Athlon, Duron","","266 MHz, 200 MHz","DDR266
dual channel","1.5 GB","AGP 4×","MCP
MCP-D","Geforce 2 MX IGP",""
