"Model","Code name","Fab (nm)","Bus interface","Memory (MB)","Core clock (MHz)","Shader clock (MHz)","Memory clock (MHz)","Core config","Fillrate","Fillrate","Memory","Memory","Memory","Processing Power 
 GFLOPS","API support (version)","API support (version)","TDP (watts)","Notes"
"Model","Code name","Fab (nm)","Bus interface","Memory (MB)","Core clock (MHz)","Shader clock (MHz)","Memory clock (MHz)","Core config","Pixel (GP/s)","Texture (GT/s)","Bandwidth (GB/s)","Bus type","Bus width (bit)","Single precision","DirectX","OpenGL","TDP (watts)","Notes"
"Quadro FX 1800M","GT215M","40","PCIe 2.0 x16","1024","450","1080","1600
2200","72:24:8","3.6","10.8","25.6
35.2","GDDR3
GDDR5","128","233.28","10.1","3.3","45",""
"Quadro FX 2800M","G92M","55","PCIe 2.0 x16","1024","500","1250","2000","96:48:16","8","16","64","GDDR3","256","360","10.0","3.3","75",""
"Quadro FX 3800M","G92M","55","PCIe 2.0 x16","1024","675","1688","2000","128:64:16","10.8","43.2","64","GDDR3","256","648.192","10.0","3.3","100",""
