"Client","Multi-server","UTF-8","Proxy server","irc:// URI scheme","Automatic updates","Scripting language","Push notifications"
"AndroidChat","?","?","?","?","?","?","?"
"AndChat","Yes","Yes","?","?","Yes","?","?"
"Mobile Colloquy","Yes","Yes","No","Yes","Yes","No","Yes"
"CoolIRC","No","Yes","Yes","No","No","Yes","?"
"Dump Chat","Yes","Yes","No","No","Yes","No","No"
"EbIRC","?","Yes","?","?","?","?","?"
"Foo IRC","Yes","Yes","No","No","Yes","Yes","?"
"fIRC","?","?","?","?","?","?","?"
"IRC7","Yes","Yes","No","No","Yes","Yes","?"
"JedIrc","No","Yes","Yes","No","No","Yes","?"
"jmIrc","No","Yes","Yes","No","No","Yes","?"
"k-IRC","No","No","No","No","No","No","?"
"MtvIRC","No","Yes","Yes","No","No","No","?"
"Palaver","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"PSPIRC","No","Yes","No","No","No","Yes","?"
"Relay IRC","Yes","Yes","Yes","No","Yes","No","No"
"upIRC","No","No","No","No","No","Yes","?"
"Virca","?","Yes","?","?","No","?","?"
"wIRC","?","?","Yes","?","?","?","?"
"WirelessIRC","?","?","?","?","?","?","?"
"WLIrc","?","No","?","?","No","?","?"
"Yaaic","Yes","Yes","No","No","Yes","No","?"
"zsIRC","Yes","Yes","No","No","Yes","No","?"
"","","","","","","",""
