"Name","License","Deployment","Platforms"
"10SCAPE","Free & Proprietary","Desktop","Windows"
"10-Strike","Proprietary","Desktop","Windows"
"Docusnap","Proprietary","Desktop","Windows"
"Graphical Networks","Proprietary","Desktop","Windows"
"Manage Engine","Proprietary","Desktop","Windows"
"MaSSHandra","Proprietary","Desktop","Windows, Linux, OS X"
"Netbrain Tech","Proprietary","Desktop","Windows"
"Solarwinds","Proprietary","Desktop","Windows"
"Spiceworks","Free","Desktop","Windows"
"The Dude","Free","Desktop","Windows, Linux"
"Whatsupgold","Proprietary","Desktop","Windows"
