"Model","Features","",""
"GeForce4 MX420","Features","",""
"GeForce4 MX440 SE","Features","",""
"GeForce4 MX4000","Features","",""
"GeForce4 PCX4300","Features","",""
"GeForce4 MX440","Features","",""
"GeForce4 MX440 8X","Features","",""
"GeForce4 MX460","Features","",""
"GeForce4 Ti4200","Features","",""
"GeForce4 Ti4400","nFiniteFX II Engine","Video Processing Engine (VPE)",""
"GeForce4 Ti4600","No","Yes",""
"GeForce4 Ti4800","Yes","No",""
"GeForce4 MX420","No","Yes",""
"GeForce4 MX440 SE","No","Yes",""
"GeForce4 MX4000","No","Yes",""
"GeForce4 PCX4300","No","Yes",""
"GeForce4 MX440","No","Yes",""
"GeForce4 MX440 8X","No","Yes",""
"GeForce4 MX460","No","Yes",""
"GeForce4 Ti4200","Yes","No",""
"GeForce4 Ti4400","Yes","No",""
"GeForce4 Ti4600","Yes","No",""
"GeForce4 Ti4800","Yes","No",""
