"","","ALFTP","Cerberus","Complete","CrushFTP","FileZilla","IIS","Multi Server","ProFTPD","WS FTP"
"","","proprietary","Cerberus","Complete","proprietary","FLOSS/GPL","proprietary","Multi Server","",""
"OS","Linux","No","proprietary","proprietary","Yes","No","No","proprietary","Yes","No"
"OS","Linux","No","No","No","Yes","No","No","No","Yes","No"
"OS","Mac OS X","No","No","No","Yes","No","No","No","Yes","No"
"OS","Unix","No","No","?","Yes","No","No","No","Yes","No"
"OS","IBM i/OS","No","No","?","Yes","No","No","No","No","No"
"OS","Windows","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"User Interface","CLI","?","?","?","Yes","?","?","?","Yes","?"
"User Interface","GUI integrated","?","Yes","?","Yes","Yes","Yes","?","No","Yes"
"User Interface","GUI(s) separately","?","?","?","Yes","?","?","?","Yes","?"
"Services","FTP","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Services","SFTP","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes"
"Services","FTPS","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Services","SCP","?","No","Yes","Yes","No","No","Yes","?","Yes"
"Services","WebDAV","?","No","No","Yes","No","Yes","No","?","No"
"Services","HTTP/HTTPS","?","Yes","Yes","Yes","No","Yes","Yes","?","Yes"
"Services","AS2","No","No","No","Yes","No","No","No","?","No"
"Authentication","LDAP","?","Yes","Yes","Yes","No","No","No","Yes","Yes"
"Authentication","Active Directory","?","Yes","Yes","Yes","No","Yes","Yes","?","Yes"
"Authentication","Local","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Authentication","Database","?","No","Yes","Yes","No","No","Yes","Yes","Yes"
"High Availability","Failover Cluster
(active/passive)","No","Yes","No","Yes","No","Yes","No","?","Yes"
"High Availability","Load Balancing
(active/active)","No","Yes","?","Yes","No","Yes","?","?","Yes"
