"Client","Microsoft Windows","Mac OS X","Linux","BSD","Unix","DOS","Other"
"Alpine","Yes","Yes","Yes","Yes","Yes","No","No"
"Atmail","No","No","Yes","Yes","Yes","No","No"
"Balsa","No","No","Yes","Yes","No","No","No"
"Becky! Internet Mail","Yes","No","No","No","No","No","No"
"Citadel","No","Yes","Yes","Yes","Yes","No","No"
"Claws Mail","Yes","Yes","Yes","Yes","Yes","No","No"
"Cone","No","Yes","Yes","Yes","Yes","No","No"
"Courier","Yes","No","No","No","No","No","No"
"Elm","No","Yes","Yes","Yes","Yes","No","No"
"eM Client","Yes","No","No","No","No","No","No"
"EmailTray","Yes","No","No","No","No","No","No"
"Eudora","Yes","Yes","No","No","No","No","No"
"Eureka Email","Yes","No","No","No","No","No","No"
"Evolution","Beta","No","Yes","Yes","Yes","No","No"
"Forté Agent","Yes","No","No","No","No","No","No"
"Gnus","Yes","Yes","Yes","Yes","Yes","Yes","Emacs"
"GroupWise","Yes","Yes","Yes","Yes","No","No","No"
"i.Scribe / InScribe","Yes","Yes","Yes","No","No","No","No"
"IBM Lotus Notes","Yes","Yes","Yes","No","Yes","No","No"
"IMP","Yes","Yes","Yes","Yes","Yes","No","No"
"KMail","No","Yes","Yes","Yes","Yes","No","No"
"Libremail","No","Should work","Yes","Yes","Yes","No","No"
"Mail (OS X)","No","Included","No","No","No","No","iOS"
"Mailbird","Yes","No","No","No","No","No","No"
"mailx","No","No","Yes","Yes","Yes","No","No"
"Microsoft Entourage","No","Terminated (2008)","No","No","No","No","No"
"Microsoft Office Outlook","Yes","Yes","No","No","No","No","No"
"Mozilla Mail & Newsgroups","Terminated (1.7.13)","No","No","","","",""
"Mozilla Thunderbird","Yes","Yes","Yes","Yes","Yes","No","No"
"Mulberry","Yes","Yes","Yes","Yes","Yes","No","No"
"Mutt","Yes","Yes","Yes","Yes","Yes","Yes","No"
"Netscape Messenger","Terminated (4.80)","No","No","","","",""
"Netscape Messenger 9","Terminated (9.0a1)","No","No","","","",""
"nmh / MH","No","Yes","Yes","Yes","Yes","No","No"
"Opera Mail","Yes","Yes","Yes","Yes","?","No","No"
"Outlook Express","Included (up to XP)","No","No","No","No","No","No"
"Pegasus Mail","Yes","No","No","No","No","Yes","No"
"Pine","Yes","Yes","Yes","Yes","Yes","Terminated (3.96)","No"
"Pocomail","Yes","No","No","No","No","No","No"
"SeaMonkey Mail & Newsgroups","Yes","Yes","Yes","Yes","Yes","No","No"
"Spicebird","Yes","planned","Yes","Yes","No","No","No"
"SquirrelMail","Yes","Yes","Yes","Yes","Yes","No","No"
"Sylpheed","Yes","Yes","Yes","Yes","Yes","No","No"
"The Bat!","Yes","No","No","No","No","No","No"
"Trojitá","Yes","Yes","Yes","Yes","Yes","No","MeeGo"
"Turnpike","Yes","No","No","No","No","No","No"
"Wanderlust","Yes","Yes","Yes","Yes","Yes","Yes","Emacs"
"Windows Live Mail","Yes","No","No","No","No","No","No"
"Windows Mail","Included (Vista)","No","No","No","No","No","No"
"YAM","No","No","No","No","No","No","AmigaOS"
"Zimbra","Yes","Yes","Yes","Yes","Yes","No","No"
"","","","","","","",""
