"Client Name","Encryption","OTR"
"AIM","Yes","?"
"aMSN","Yes","?"
"Bombus","Yes Not OpenPGP.","No"
"Coccinella","Yes Not OpenPGP.","No"
"Centericq","Yes","?"
"eBuddy","Yes","?"
"Fire","Yes","?"
"Gadu-Gadu","Yes","?"
"IBM Lotus Sametime","Yes","?"
"IMVU","?","?"
"Kadu","Yes Not OpenPGP.","Yes"
"Messages","Partial Not OpenPGP.","No"
"Paltalk","Yes","?"
"QIP","Yes","?"
"Qnext","Yes","?"
"QuteCom","Yes","?"
"Skype","Sort of","?"
"Telepathy-based","Yes/No Not OpenPGP.","?"
"Yahoo! Messenger","Yes","?"
"Yuilop","Yes","?"
