"Products","","Trident","Tasman","Gecko","WebKit","KHTML","Presto","iCab"
"P3","","3.1","","1.0","","","1.0",""
"P6","","3.1","Yes","1.0","Yes","Yes","1.0","Yes"
"P1","Frame layout","Frame layout","Frame layout","Frame layout","Frame layout","Frame layout","Frame layout","Frame layout"
"P2","","3.1","","1.0","","","1.0",""
"P4","Inline frames","Inline frames","Inline frames","Inline frames","Inline frames","Inline frames","Inline frames","Inline frames"
"P5","","3.1","Yes","1.0","Yes","Yes","1.0","Yes"
