"Products","","First public release","First public release","First stable release","First stable release","Latest stable release"
"Products","Client","Date","Version","Date","Version","Latest stable release"
"P1","AdiIRC","2005","","","","1.9.6 (March 28, 2015; 2 months ago)"
"P2","AmIRC","1995","","","","3.6.1 (July 14, 2012; 2 years ago)"
"P3","Bersirc","1999","","","","2.2.14 (12 August 2005; 9 years ago)"
"P4","BitchX","1996","","","","1.2.1 (November 14, 2014; 6 months ago)"
"P5","ChatZilla","2001","","","","0.9.91.1 (December 19, 2014; 5 months ago



)"
"P6","Colloquy","2005","","","","2.4.3 (6011) (March 22, 2014; 14 months ago)"
"P7","Convos","2013","","","","0.6 (June 9, 2014; 11 months ago)"
"P8","DMDirc","2007","","","","0.7 (January 5, 2013; 2 years ago)"
"P9","ERC","1999?","","","","ERC improvements are now released as part of Emacs."
"P10","f-irc","2006?","0.0.1","","","1.30 (January 1, 2014)"
"P11","HexChat","2009-10-04","r249","2009-10-09","2.86.0","2.10.1 (July 28, 2014)"
"P12","HydraIRC","2002","","","","0.3.165 (December 12, 2008; 6 years ago)"
"P13","IceChat","2002","3.0","2002-04-08","3.0","9.07 (May 9, 2015; 33 days ago)"
"P14","ii (IRC IT)","2005-12-19","0.1","2007-02-01","1.0",""
"P15","ircII","1990","","","","20140831 (August 31, 2014; 9 months ago)"
"P16","IRCjr","2008","","2008","","mTCP_2013-04-26 (April 26, 2013; 2 years ago)"
"P17","Ircle","1995","","","","3.5a6 (November 17, 2007; 7 years ago)"
"P18","Irssi","1999","","","","0.8.17 (October 11, 2014; 7 months ago)"
"P19","jIRCii","?","?","","","0.9 (July 20, 2011; 3 years ago)"
"P20","KVIrc","1998","0.6.0","1999-12-21","1.0.0","4.2.0 (July 3, 2012; 2 years ago)"
"P21","Konversation","2002","","","","1.6 (8 April 2015; 2 months ago)"
"P22","LeafChat","?","1.0","","","2.41 (October 4, 2011; 3 years ago)"
"P23","LeetIRC","2006","","","","1.1 (March 18, 2008; 7 years ago)"
"P24","LimeChat","2007","","","","Mavericks / Mountain Lion

2.42 (June 22, 2014; 11 months ago) 

Lion

2.38 (September 12, 2013; 20 months ago)"
"P25","Lingo","2013-04-04","1.0","2013-04-04","1.0","(1.9.1) July 25, 2014"
"P26","Linkinus","2007","","","","2.4 (August 23, 2011; 3 years ago)"
"P27","Mibbit","2008","","","","web application, no version"
"P28","mIRC","1995","","","","7.41 (February 28, 2015; 3 months ago)"
"P29","Neebly","2008-12-13","1.0.1","","","1.0.4 (February 28, 2009; 6 years ago)"
"P30","Nettalk","2004","","","","6.7.16 (October 30, 2012; 2 years ago)"
"P31","Opera","1996","","","","; Windows, OS X, Linux
30.0.1835.59 (June 10, 2015; 1 day ago




 )"
"P32","PChat","2010","","2010","","1.4.3"
"P33","PIRCH","1995","","","","1.0.1.1190 (January 1, 2001; 14 years ago)"
"P34","PJIRC","2002","","","","2.2.1 (November 29, 2004; 10 years ago)"
"P35","Quassel","2008-08-27","0.3.0","","","0.12.2 (May 1, 2015; 41 days ago)"
"P36","qwebirc","2009","0.81","","","0.92 (February 13, 2012; 3 years ago)"
"P37","rIRC","2010","Preview Release 1","2012","1.44","1.4.4 (January 16, 2012)"
"P38","Scrollback","2013","","2013","",""
"P39","rcirc","?","?","","","24.1 (June 10, 2012; 3 years ago)"
"P40","Smuxi","2008-07-29","0.6","2010-09-03","0.8","0.11 (April 14, 2014; 13 months ago)"
"P41","Snak","1997","","","","5.3.4 (March 11, 2012; 3 years ago)"
"P42","Visual IRC","1995","","","","2.0pl2 (200/187) (July 15, 2007; 7 years ago)"
"P43","Textual","2010","1.0.0","2010","1.0.0","5.1.2 (April 7, 2015; 2 months ago)"
"P44","WeeChat","2003","","","","1.2 (May 10, 2015; 32 days ago)"
"P45","XChat","1998","","","","2.8.8 (source) (May 30, 2010; 5 years ago) 
2.8.9 (windows) (August 28, 2010; 4 years ago)"
"P46","Client","Date","Version","Date","Version","Latest stable release"
"P47","Client","First public release","First public release","First stable release","First stable release","Latest stable release"
