"Products","Model","Launch","Code name","Fab (nm)","Transistors (Million)","Die Size (mm)","Die Count","Bus interface","Memory (MB)","SM count","Core config","Clock rate","Clock rate","Clock rate","Clock rate","Clock rate","Fillrate","Fillrate","Memory Configuration","Memory Configuration","Memory Configuration","API support (version)","API support (version)","API support (version)","GFLOPS (FMA)","TDP (watts)","GFLOPS/W","Release Price (USD)"
"Products","Model","Launch","Code name","Fab (nm)","Transistors (Million)","Die Size (mm)","Die Count","Bus interface","Memory (MB)","SM count","Core config","Core (MHz)","Average Boost (MHz)","Max Boost (MHz)","Shader (MHz)","Memory (MHz)","Pixel (GP/s)","Texture (GT/s)","Bandwidth (GB/s)","DRAM type","Bus width (bit)","DirectX","OpenGL","OpenCL","GFLOPS (FMA)","TDP (watts)","GFLOPS/W","Release Price (USD)"
"P28","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P1","GeForce 605","April 3, 2012","GF119","40","292","79","1","PCIe 2.0 x16","512
1024","1","48:8:4","523","N/A","N/A","1046","898
(1796)","1.05","4.2","14.4","DDR3","64","11.0","4.5","1.1","100.4","25","4.02","OEM"
"P2","GeForce GT 610","May 15, 2012","GF119-300-A1","40","292","79","1","PCIe 2.0 x16, PCIe x1, PCI","512
1024
2048","1","48:8:4","810","N/A","N/A","1620","1000
1800","1.62","6.5","8
14.4","DDR3","64","11.0","4.5","1.1","155.5","29","5.36","Retail"
"P3","GeForce GT 620","April 3, 2012","GF119","40","292","79","1","PCIe 2.0 x16, PCI","512
1024","1","48:8:4","810","N/A","N/A","1620","898
(1796)","1.62","6.5","14.4","DDR3","64","11.0","4.5","1.1","155.5","30","5.18","OEM"
"P4","GeForce GT 620","May 15, 2012","GF108-100-KB-A1","40","585","116","1","PCIe 2.0 x16, PCI","1024
2048","2","96:16:4","700","N/A","N/A","1400","1000–1800","2.8","11.2","8–14.4","DDR3","64","11.0","4.5","1.1","268.8","49","5.49","Retail"
"P5","GeForce GT 625","February 19, 2013","GF119","40","292","79","1","PCIe 2.0 x16","512
1024","1","48:8:4","810","N/A","N/A","1620","898
(1796)","3.24","6.5","14.4","DDR3","64","11.0","4.5","1.1","155.5","30","5.18","OEM"
"P6","GeForce GT 630","April 24, 2012","GK107","28","1300","118","1","PCIe 3.0 x16","1024
2048","1","192:16:16","875","N/A","N/A","875","891
(1782)","14","14","28.5","DDR3","128","11.0","4.5","1.2","336","50","6.72","OEM"
"P7","GeForce GT 630 (DDR3)","May 15, 2012","GF108-400-A1","40","585","116","1","PCIe 2.0 x16, PCI","1024
2048
4096","2","96:16:4","700","N/A","N/A","1620","1600–1800","2.8","11.2","25.6–28.8","DDR3","128","11.0","4.5","1.1","311","65","4.79","Retail"
"P8","GeForce GT 630 (GDDR5)","May 15, 2012","GF108","40","585","116","1","PCIe 2.0 x16, PCI","1024","2","96:16:4","810","N/A","N/A","1620","800
(3200)","3.2","13","51.2","GDDR5","128","11.0","4.5","1.1","311","65","4.79","Retail"
"P9","GeForce GT 630 (Rev. 2)","May 29, 2013","GK208-301-A1","28","1020","79","1","PCIe 2.0 x8","1024
2048","1","384:16:8","902","N/A","N/A","902","900
(1800)","7.22","14.44","14.4","DDR3","64","11.0","4.5","1.2","692.7","25","27.68",""
"P10","GeForce GT 635 (OEM)","February 19, 2013","GK208","28","1020","79","1","PCIe 3.0 x8","1024
2048","1","384:16:8","967","N/A","N/A","967","1001
(2002)","7.74","15.5","16","DDR3","64","11.0","4.5","1.2","742.7","35","21.22","OEM"
"P11","GeForce GT 640","April 24, 2012","GF116","40","1170","238","1","PCIe 2.0 x16","1536
3072","3","144:24:24","720","N/A","N/A","1440","891
(1782)","17.3","17.3","42.8","DDR3","192","11.0","4.5","1.1","414.7","75","5.53","OEM"
"P12","GeForce GT 640 (DDR3)","April 24, 2012","GK107-301-A2","28","1300","118","1","PCIe 3.0 x16","1024
2048","2","384:32:16","797","N/A","N/A","797","891
(1782)","12.8","25.5","28.5","DDR3","128","11.0","4.5","1.2","612.1","50","12.24","OEM"
"P13","GeForce GT 640 (DDR3)","June 5, 2012","GK107","28","1300","118","1","PCIe 3.0 x16","2048
4096","2","384:32:16","900","N/A","N/A","900","891
(1782)","14.4","28.8","28.5","DDR3","128","11.0","4.5","1.2","691.2","65","10.63","$100"
"P14","GeForce GT 640 (GDDR5)","April 24, 2012","GK107","28","1300","118","1","PCIe 3.0 x16","1024
2048","2","384:32:16","950","N/A","N/A","950","1250
(5000)","15.2","30.4","80","GDDR5","128","11.0","4.5","1.2","729.6","75","9.73","OEM"
"P15","GeForce GT 640 Rev. 2","May 29, 2013","GK208-400-A1","28","1020","79","1","PCIe 2.0 x8","1024","2","384:32:8","1046","N/A","N/A","1046","1252
(5008)","8.37","33.4","40.1","GDDR5","64","11.0","4.5","1.2","803.3","49","16.39",""
"P16","GeForce GT 645","April 24, 2012","GF114-400-A1","40","1950","332","1","PCIe 2.0 x16","1024","6","288:48:24","776","N/A","N/A","1552","1914","18.6","37.3","91.9","GDDR5","192","11.0","4.5","1.1","894","140","6.39","OEM"
"P17","GeForce GTX 645","April 22, 2013","GK106","28","2540","221","1","PCIe 3.0 x16","1024","3","576:48:16","823.5","888.5","N/A","823","1000
(4000)","14.16","39.5","64","GDDR5","128","11.0","4.5","1.2","948.1","64","14.81","OEM"
"P18","GeForce GTX 650","September 13, 2012","GK107-450-A2","28","1300","118","1","PCIe 3.0 x16","1024
2048","2","384:32:16","1058","N/A","N/A","1058","1250
(5000)","16.9","33.8","80","GDDR5","128","11.0","4.5","1.2","812.54","64","12.7","$110"
"P19","GeForce GTX 650 Ti","October 9, 2012","GK106-220-A1","28","2540","221","1","PCIe 3.0 x16","1024
2048","4","768:64:16","928","N/A","N/A","928","1350
(5400)","14.8","59.4","86.4","GDDR5","128","11.0","4.5","1.2","1425.41","110","12.92","$150 (130)"
"P20","GeForce GTX 650 Ti Boost","March 26, 2013","GK106-240-A1","28","2540","221","1","PCIe 3.0 x16","1024
2048","4","768:64:24","980","1032","N/A","980","1502
(6008)","23.5","62.7","144.2","GDDR5","192","11.0","4.5","1.2","1505.28","134","11.23","$170 (150)"
"P21","GeForce GTX 660","September 13, 2012","GK106-400-A1","28","2540","221","1","PCIe 3.0 x16","2048
3072","5","960:80:24","980","1032","1084","980","1502
(6008)","23.5","78.4","144.2","GDDR5","192","11.0","4.5","1.2","1881.6","140","13.44","$230 (180)"
"P22","GeForce GTX 660 (OEM)","August 22, 2012","GK104-200-KD-A2","28","3540","294","1","PCIe 3.0 x16","1536
2048","6","1152:96:24
1152:96:32","823.5","888.5","899","823","1450
(5800)","19.8","79","134","GDDR5","192
256","11.0","4.5","1.2","2108.6","130","16.22","OEM"
"P23","GeForce GTX 660 Ti","August 16, 2012","GK104-300-KD-A2","28","3540","294","1","PCIe 3.0 x16","2048
3072","7","1344:112:24","915","980","1058","915","1502
(6008)","22.0","102.5","144.2","GDDR5","192","11.0","4.5","1.2","2459.52","150","16.40","$300"
"P24","GeForce GTX 670","May 10, 2012","GK104-325-A2","28","3540","294","1","PCIe 3.0 x16","2048
4096","7","1344:112:32","915","980","1084","915","1502
(6008)","29.3","102.5","192.256","GDDR5","256","11.0","4.5","1.2","2459.52","170","14.47","$400"
"P25","GeForce GTX 680","March 22, 2012","GK104-400-A2","28","3540","294","1","PCIe 3.0 x16","2048
4096","8","1536:128:32","1006","1058","1110","1006","1502
(6008)","32.2","128.8","192.256","GDDR5","256","11.0","4.5","1.2","3090.43","195","15.85","$500"
"P26","GeForce GTX 690","April 29, 2012","2× GK104-355-A2","28","2× 3540","2× 294","2","PCIe 3.0 x16","2× 2048","2× 8","2× 1536:128:32","915","1019","1058","915","1502
(6008)","2× 29.28","2× 117.12","2× 192.256","GDDR5","2× 256","11.0","4.5","1.2","2× 2810.88","300","18.74","$1000"
"P27","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
