"Client","Transports","File transfer
(XEP-0096)","Multi-user
chat","Link-local
(XEP-0174)","Jingle","Jingle","Jingle"
"Client","Transports","File transfer
(XEP-0096)","Multi-user
chat","Link-local
(XEP-0174)","File transfer","Voice calls","Video calls"
"Adium","Yes","Yes","Yes","Yes","No","No","No"
"BitlBee","Yes","Yes","Yes","Yes","No","No","No"
"Bombus","No","Yes","Yes","No","No","No","No"
"climm","No","Yes","No","No","No","No","No"
"Coccinella","Yes","Yes","Yes","No","No","Yes","No"
"Telepathy-based","No","Yes","Yes","Yes","Yes","Yes","Yes"
"Gajim","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Jitsi","No","Yes","Yes","Yes","Yes","Yes","Yes"
"InTouch Messenger","Yes","Yes","Yes","No","No","No","No"
"Kadu","No","Yes","No","No","No","No","No"
"Kopete","Yes","Yes","Yes","Yes","No","No","No"
"Messages","No","Yes","Partial","Yes","Yes","No","No"
"MCabber","No","No","Yes","No","Yes","No","No"
"Nimbuzz","Yes","Yes","Yes","No","Yes","Yes","Yes"
"Pidgin","Yes","Yes","Yes","Yes","No","Yes/No","Yes/No"
"Psi","Yes","Yes","Yes","Yes","Yes","Yes","No"
"Tkabber","Yes","Yes","Yes","No","No","No","No"
"Trillian","No","Yes","Yes/No","Yes/No","No","No","No"
