"Word","Danish meaning","Norwegian meaning"
"grine","laugh","cry (both words cognates with English ""grin"")"
"kuk","mess, problem","penis (vulgar)"
"bolle","sexual intercourse/ bun","bun (however, can be used for sexual intercourse in some areas)"
"rask","healthy/ fast","fast (adj.) or litter (garbage)"
"svær","difficult/ obese","large"
"kneppe","to fuck","to button/ unbutton"
"flink","nice","skilled, clever"
"rar","kind, nice","strange, weird"
