"YouTube Downloader","MP3","MPEG4","WMV","AVI","FLV","OGG Theora","OGG Vorbis","Matroska","3GP","SWF","Special device profiles (e.g. iPhone)"
"4KDownload","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","No","Yes"
"ClipGrab","Yes","Yes","Yes","No","No","Yes","Yes","No","No","No","No"
"FLVTO","Yes","?","Yes","Yes","Yes","No","No","No","No","No","Yes"
"Freemake Video Downloader","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes","Yes"
"Free Studio","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","No"
"JDownloader","No","No","No","No","No","No","No","No","No","No","No"
"MP3 Rocket","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes"
"Orbit Downloader","No","No","No","No","No","No","No","No","No","No","No"
"Video DownloadHelper","Yes","Yes","Yes","Yes","Yes","?","?","?","?","?","?"
