"kernel","DEC","ARM Holdings","HP","Intel","Intel","Intel","MIPS Technologies","AIM","IBM","Renesas Electronics","Renesas Electronics","Sun Microsystems","Motorola","Analog Devices","Xilinx","Renesas Electronics","Tensilica","Axis Communications","Fujitsu","Atmel","Panasonic","Hyperstone","Altera","Altera","WDC","Sunplus Technology","Tilera","Texas Instruments","","","","","","","","","","","","","","",""
"kernel","DEC","ARM","ARM","Intel","Intel","Intel","PowerPC","PowerPC","IBM","Renesas Electronics","Renesas Electronics","","","Analog Devices","Xilinx","Renesas Electronics","","Axis Communications","Fujitsu","Atmel","Panasonic","Hyperstone","Altera","Altera","WDC","Sunplus Technology","Tilera","Texas Instruments","","","","","","","","","","","","","","",""
"kernel","VAX","Alpha","mmu","nommu","PA-RISC","x86","x86-64","i960","IA-64","mmu","nommu","32-bit","64-bit","System/
390","z/Architecture","H8300","M16C","M32R","mmu","nommu","32-bit","64-bit","nommu","mmu","nommu","Blackfin (nommu)","Tilera","78K","V850","mmu","nommu","ETRAX CRIS","FR-V","AVR32","MN10300","E1 (nommu)","Nios (nommu)","mmu","nommu","WDC 65C816","S+core","C6X",""
"DragonFly BSD kernel","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"kernel","VAX","Alpha","mmu","nommu","PA-RISC","x86","x86-64","i960","IA-64","mmu","nommu","32-bit","64-bit","System/
390","z/Architecture","H8300","M16C","M32R","mmu","nommu","32-bit","64-bit","nommu","mmu","nommu","Blackfin (nommu)","MicroBlaze","78K","V850","mmu","nommu","ETRAX CRIS","FR-V","AVR32","MN10300","E1 (nommu)","Nios (nommu)","mmu","nommu","WDC 65C816","S+core","Tilera","C6X"
"DragonFly BSD kernel","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"FreeBSD kernel","No","No","Yes","?","No","Yes","Yes","?","Yes","Yes","No","Yes","Yes","No","No","?","?","?","No","No","No","Yes","?","No","No","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Linux kernel","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No (dropped in 2.6.x)","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes","Yes","Yes"
"MINIX 3 kernel","?","No","Yes","?","No","Yes","In progress","No","No","In progress","?","No","No","No","No","No","?","No","No","No","No","No","No","No","No","No","No","?","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"NetBSD kernel","Yes","Yes","Yes","No","Yes","Yes","Yes","?","Yes","Yes","No","Yes","No","No","No","?","?","?","Yes","No","Yes","Yes","No","Yes","No","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"NetWare kernel","No","No","No","No","No","Yes","No","?","No","No","No","No","No","No","No","?","?","?","No","No","No","No","No","No","No","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"OpenBSD kernel","Yes","Yes","Yes","?","Yes","Yes","Yes","?","No","Yes","?","Yes","No","No","No","?","?","?","Yes","?","Yes","Yes","?","Yes","Yes","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Rockbox kernel","?","?","Yes","?","?","?","?","?","?","Yes","?","?","?","?","No","?","?","?","Yes","?","?","?","?","Yes","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Solaris kernel","No","No","No","No","No","Yes","Yes","?","No","No","No","No","No","No","No","?","?","?","No","No","Yes","Yes","?","No","No","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Windows NT kernel","No","NT 5.0 RC1 and below only","Yes","No","No","Yes","Yes","No","Yes","NT 4.0 and below only","No","NT 3.51 and NT 4.0 only","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Windows CE kernel","No","No","Yes","?","No","Yes","?","No","No","Yes","?","No","No","No","No","No","?","No","Yes","?","No","No","No","No","No","No","No","?","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"XNU","No","No","Yes","?","No","Yes","Yes","?","No","No","No","Yes","Yes","No","No","?","?","?","No","No","No","No","No","No","No","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"SPARTAN kernel","?","No","Yes","?","No","Yes","Yes","?","Yes","Yes","?","Yes","In Progress","No","No","?","?","?","No","No","No","Yes","?","No","No","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"FreeRTOS kernel","?","?","?","Yes","?","?","?","?","?","?","?","Yes","?","?","No","?","?","?","?","?","?","?","?","?","?","Yes","Yes","Yes","Yes","?","?","?","?","Yes","?","?","?","?","Yes","?","?","?","?"
