"","Has member?","Has member?","Handler for missing member","Handler for missing member"
"","Method","Field","Method","Field"
"ABAP Objects","N/A","","",""
"C++ (STL)","","","",""
"Objective-C (Cocoa)","","N/A","","N/A"
"Smalltalk","","N/A","","N/A"
"C#","(using reflection)","(using reflection)","(using reflection)","(using reflection)"
"Java","(using reflection)","(using reflection)","(using reflection)","(using reflection)"
"D","","","",""
"Eiffel","N/A","","",""
"Python","","","",""
"Visual Basic .NET","(using reflection)","(using reflection)","(using reflection)","(using reflection)"
"Xojo","(using Introspection)","(using Introspection)","(using Introspection)","(using Introspection)"
"Windows PowerShell","(using reflection)","(using reflection)","(using reflection)","(using reflection)"
"F#","(using reflection)","(using reflection)","(using reflection)","(using reflection)"
"Ruby","","N/A","","N/A"
"PHP","","","",""
"Perl","","","AUTOLOAD",""
"Perl 6","","","AUTOLOAD",""
"OCaml","N/A","","",""
"JavaScript","","","",""
"COBOL","N/A","","",""
