"Name","Creator","Sold mixed with","Sold mixed with","Sold mixed with","Sold mixed with","Sold mixed with","Sold in","Sold in","Sold in","D/C*"
"Name","Creator","Cola","Lemonade","Citrus","Milk","Stimulant","US","Australia","UK","D/C*"
"3sum","United Brands Company","No","No","Yes","No","Yes","No","No","No","Yes"
"Country Coolers","Jack Daniels (Brown-Forman)","Yes","Yes","No","No","No","Yes","No","No","No"
"Four","Phusion Projects Inc.","No","Yes","Yes","No","No","Yes","No","Yes","No"
"Jeremiah Weed","Diageo","Yes","Yes","No","No","No","Yes","No","Yes","No"
"Joose","United Brands Company","No","No","Yes","No","No","Yes","No","Yes","No"
"Sparks","Miller Brewing","No","No","Yes","No","No","Yes","No","No","No"
"White Mountain Cooler","Stroh Brewery Company","No","No","Yes","No","No","Yes","No","No","No"
"Zima XXX","Coors Brewing Company","No","No","Yes","No","No","Yes","No","No","Yes"
"Tilt","Anheuser-Busch","No","No","Yes","No","No","Yes","No","No","No"
