"NAME","Maximum zoom","Object limit per document","Control point limit","Color management for print","Thumbnails","Adjust Image (functions)","Text Recognition (OCR)","Scripting support","Raster 2 Vector"
"Easy Trace","12800x","No Limit","?","Yes","Yes","Yes","No","No",""
"Freehand","64x","?","?","No","?","?","No","Yes",""
"Illustrator","64x","?","?","Yes","?","?","No","Yes","Yes"
"Potrace","N/A","?","?","No","?","?","No","No",""
"Scan2CAD","64K","No limit","No limit","Yes","?","?","Yes","Yes",""
"","Maximum zoom","Object limit per document","Control point limit","Color management for print","Thumbnails","adjust image (functions)","Text Recognition (OCR)","Scripting support","Raster 2 Vector"
