"Symbol","Languages"
"C","Fortran 77 and earlier; the 'C' must be in column 1 of a line to indicate a comment."
"REM, ::, :","BASIC, COMMAND.COM, cmd.exe, batch files"
"NB.","J; from the (historically) common abbreviation Nota bene, the Latin for ""note well""."
"⍝","APL; the mnemonic is the glyph (jot overstruck with shoe-down) resembles a desk lamp, and hence ""illuminates"" the foregoing."
"#","Bourne shell and other UNIX shell, Cobra, Perl, Python, Ruby, Seed7, Windows PowerShell, PHP, R, Make, Maple, Nimrod"
"%","TeX, Prolog, MATLAB,  Erlang, S-Lang, Visual Prolog"
"//","ActionScript, C (C99), C++, C#, D, Go, Java, JavaScript, Object Pascal (Delphi), Objective-C, PHP, Rust, Scala, SASS, Swift, Xojo"
"'","Visual Basic, VBScript Small Basic,, Xojo"
"!","Fortran, Basic Plus, Inform"
";","AutoHotkey, AutoIt, Lisp, Common Lisp, Clojure, Rebol, Scheme, many assemblers"
"","Euphoria, Haskell, SQL, Ada, AppleScript, Eiffel, Lua, VHDL, SGML"
"*","COBOL (if fixed-form and * in column 7), PAW, many assemblers, Fortran (if fixed-form and * in column 1)"
"","Curl"
"","Vimscript"
"","Forth"
"*>","COBOL"
