"","Design Authority","Software license"
"AutoCAD DXF","",""
"Cartesian coordinate system","",""
"Geography Markup Language GML","Open Geospatial Consortium","?"
"GeoMedia","",""
"MapInfo TAB format","",""
"National Transfer Format","",""
"Shapefile","ESRI",""
"TIGER","",""
"Vector Product Format (VPF)","",""
"","",""
