"Name","Developer","Status","First release","Latest release","Current version","Based on","License","Source available"
"Admin Hands","Admin Hands","Active","2015-05","2015-05-01","1.0","","Proprietary","No"
"AbsoluteTelnet","Celestial Software (Brian Pence)","Active","1996","2014-01-31","9.83","","Proprietary","No"
"Bitvise SSH Client/Tunnelier","Bitvise","Active","2002-05","2015-05-02","6.31","","Proprietary","No"
"ConnectBot","Kenny Root / Jeffrey Sharkey","Active","2007-11","2010-10-08","1.7.1","","Apache","Yes"
"DameWare","SolarWinds","Active","2012-11-28","","","","Proprietary","No"
"Dropbear","Matt Johnston","Active","2003-04-06","2015-01-28","2015.67","","MIT","Yes"
"MindTerm","Cryptzone","Active","1998-11-13","2014-02-25","","","Proprietary","Yes"
"MobaXterm","Mobatek","Active","2008","2015-02-15","7.6","OpenSSH","GPL","Yes"
"eSSH Client","Ecode Software","Inactive","2002-07","","","","Proprietary","No"
"Private Shell","Imposant","Active","2003-04","2013-07-29","3.2","","Proprietary","No"
"ProxyCap","Proxy Labs","Active","2002","","","","Proprietary","No"
"FileZilla","Tim Kosse","Active","2001-06-22","2013-08-06","3.7.2","PuTTY","GPL","Yes"
"lsh","Niels Möller","Active","1999-05-23","2013-06-26","2.0.4","","GPL","Yes"
"OpenSSH","The OpenBSD project","Active","1999-12-01","2015-03-18","6.8","ossh","BSD","Yes"
"PACManager","David Torrejón Vaquerizas","Active","2010-01-01","2014-08-29","4.5.5","OpenSSH, Telnet, FTP, vncviewer, rdesktop, cu, remote-tty, mosh, cadaver","GPL","Yes"
"PuTTY","Simon Tatham","Active","1999-01-22","2015-02-28","0.64","","MIT","Yes"
"Reflection for Secure IT","Attachmate","Active","","2012-11-12","","F-Secure SSH","Proprietary","No"
"Salt","Maarten L. Hekkelman","Active","2011-11","2013-06-22","3.2.2","","Proprietary","No"
"SecureCRT","VanDyke Software","Active","1998-06","2014-01-16","7.2.1","","Proprietary","No"
"SmartFTP","SmartSoft Ltd","Active","1998","","","","Proprietary","No"
"SSH Tectia Client/ConnectSecure","SSH Communications Security (former Tectia)","Active","1995-07","2013-07","","Own implementation in C","Proprietary","No"
"SunSSH","Open Solaris","Active","2001","","","OpenSSH 2.3","CDDL","Yes"
"Terminals CodePlex","Terminals CodePlex Project","Active","2006","2013-07-16","3.1","","Microsoft MS-CL","Yes"
"Tera Term","TeraTerm Project","Active","2004","2013-02-28","4.77","TeraTerm 2.3 (1994–1998)","BSD","Yes"
"TN3270 Plus","SDI USA, Inc.","Active","2006","","","","Proprietary","No"
"Token2Shell","Choung Networks","Active","2008","2014-03-06","6.9.0","","Proprietary","No"
"TtyEmulator","FCS Software","Active","2002-05","","","","Proprietary","No"
"WinSCP","Martin Prikryl","Active","2000","2015-02-20","5.7","PuTTY","GPL","Yes"
"Xshell","NetSarang","Active","","2015-04-15","","","Proprietary","No"
"ZOC Terminal","EmTec, Innovative Software","Active","1995-07-01","2015-01-14","6.64","","Proprietary","No"
"Penguinet","siliconcircus","?","1998?","2011-07-24","2.54","","Proprietary","No"
