"Name","Funding
model","Focus","Country","Notes"
"Boosted","AoN","Arts","New Zealand","Philanthropy based, no rewards or products are given for backing. One-on-One help. Tax credit in NZ only."
"DonorsChoose","AoN","Education crowdfunding for school supplies","US",""
"Experiment.com","AoN","Scientific research","US","No tangible awards are given for backing, only personal satisfaction. Formerly called Microryza."
