"Products","XEP","Description","Status","ejabberd","iChat Server","jabberd14","jabberd2","Metronome","Isode M-Link","MongooseIM","Openfire","Prosody","Tigase"
"P21","0060","Publish-Subscribe","Draft","Yes","Unknown","Contrib.","No","Yes","Yes","No","Yes","Yes","Yes"
"P22","0065","SOCKS5 Bytestreams","Draft","Yes","Unknown","Contrib.","No","Yes","No","No","Yes","Yes","Yes"
"P23","0066","Out of Band Data","Draft","Yes","Unknown","Unknown","No","Unknown","No","Yes","Unknown","Yes","Unknown"
"P24","0068","Field Standardization for Data Forms","Approved","Yes","Unknown","Unknown","No","Unknown","Yes","Yes","Unknown","Yes","Unknown"
"P25","0070","Verifying HTTP Requests via XMPP","Draft","No","Unknown","Unknown","No","No","No","No","Unknown","No","Unknown"
"P26","0073","Basic IM Protocol Suite","Obsolete","Unknown","Unknown","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
"P27","0077","In-Band Registration","Final","Yes","Unknown","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"P28","0078","Non-SASL Authentication","Obsolete","Yes","Unknown","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes"
"P29","0079","Advanced Message Processing","Draft","Contrib.","Contrib.","Unknown","Yes","No","No","Yes","Unknown","No","Yes"
"P30","0080","User Location","Draft","Unknown","Unknown","Unknown","No","Yes","No","Yes","Unknown","Yes","Unknown"
"P31","0082","XMPP Date and Time Profiles","Approved","Yes","Unknown","Unknown","No","Yes","Yes","Yes","Yes","Yes","Unknown"
"P32","0083","Nested Roster Groups","Approved","Yes","Unknown","Yes","Yes","Yes","No","Yes","Unknown","Yes","Unknown"
"P33","0084","User Avatar","Draft","Unknown","Unknown","Unknown","No","Yes","No","No","Unknown","Yes","Unknown"
"P34","0085","Chat State Notifications","Final","Yes","Unknown","Unknown","No","Yes","No","Yes","Unknown","Yes","Yes"
"P35","0086","Error Condition Mappings","Deprecated","Yes","Unknown","Yes","Yes","No","No","Yes","Yes","No","Unknown"
"P36","0090","Legacy Entity Time","Obsolete","Yes","Unknown","Yes","Yes","No","No","No","Yes","Yes","Unknown"
"P37","0091","Legacy Delayed Delivery","Obsolete","Yes","Unknown","Yes","Yes","Yes","Yes","No","Yes","Yes","Unknown"
"P38","0092","Software Version","Draft","Yes","Unknown","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes"
"P39","0093","Roster Item Exchange","Deprecated","Unknown","Unknown","Yes","Yes","Unknown","No","Yes","Unknown","No","Unknown"
"P40","0095","Stream Initiation","Draft","Unknown","Unknown","Unknown","No","Unknown","No","Yes","Unknown","No","Unknown"
"P41","0096","SI File Transfer","Draft","Unknown","Unknown","Unknown","No","Unknown","No","Yes","Yes","Yes","Unknown"
"P42","0106","JID escaping","Draft","Yes","Unknown","Unknown","No","Yes","No","Yes","Yes","Yes","Unknown"
"P43","0107","User Mood","Draft","Unknown","Unknown","Unknown","No","Yes","No","No","Unknown","Yes","Unknown"
"P44","0108","User Activity","Draft","Unknown","Unknown","Unknown","No","Yes","No","No","Unknown","Yes","Unknown"
"P45","0114","Jabber Component Protocol","Historical Use","Yes","Unknown","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"P46","0115","Entity Capabilities","Draft","Yes","Unknown","Unknown","No","Yes","No","No","Yes","Yes","Unknown"
"P47","0118","User Tune","Draft","Unknown","Unknown","Unknown","No","Yes","No","No","Unknown","Yes","Unknown"
"P48","0122","Data Forms Validation","Draft","Unknown","Unknown","Unknown","No","No","No","Yes","No","Unknown","No"
"P49","0124","HTTP-Bosh","Draft","Yes","Unknown","Contrib.","No","Yes","No","Yes","Yes","Yes","Yes"
"P50","0126","Invisibility","Approved","Unknown","Unknown","Unknown","No","Yes","No","Yes","Yes","Yes","Unknown"
"P51","0128","Service Discovery Extensions","Approved","No","Unknown","Unknown","Yes","Yes","Yes","No","Yes","Yes","Unknown"
"P52","0130","Waiting Lists","Historical Use","No","Unknown","Unknown","No","No","No","No","Unknown","No","Unknown"
"P53","0131","Stanza Headers and Internet Metadata","Draft","No","Unknown","Unknown","No","Unknown","Yes","No","Unknown","Unknown","Unknown"
"P54","0133","Service Administration","Approved","Yes","Unknown","Unknown","No","Yes","Yes","No","Unknown","Yes","Yes"
"P55","0136","Message archiving","Draft","Contrib.","Unknown","Contrib.","No","No","No","No","Unknown","Contrib.","Yes"
"P56","0137","Publishing SI Requests","Draft","No","Unknown","Unknown","No","Yes","No","No","Unknown","No","Unknown"
"P57","0138","Stream Compression","Final","Yes","Unknown","Unknown","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"P58","0148","Instant Messaging Intelligence Quotient","Humorous","Unknown","Unknown","Unknown","No","unfinished","No","No","Unknown","experimental","Yes"
"P59","0153","vCard-Based Avatars","Historical Use","Unknown","Unknown","Yes","Yes","Yes","No","Yes","Unknown","Yes","Yes"
"P60","0154","User profile","Deferred","Contrib.","Unknown","Unknown","No","Yes","No","No","Unknown","No","Unknown"
"P61","0157","Contact Addresses for XMPP Services","Approved","Yes","Unknown","Yes","Yes","No","No","Yes","Unknown","No","Unknown"
"P62","0158","CAPTCHA Forms","Draft","Yes","Unknown","Unknown","No","No","No","No","Unknown","No","Unknown"
"P63","0159","Spim-Blocking Control","Deferred","Unknown","Unknown","Unknown","No","No","No","Unknown","Unknown","No","Unknown"
"P64","0160","Best Practices for Handling Offline Messages","Approved","Yes","Unknown","Yes","Yes","Yes","No","Yes","Unknown","Yes","Unknown"
"P65","0161","Abuse Reporting","Deferred","Unknown","Unknown","Unknown","No","No","No","No","Unknown","No","Unknown"
"P66","0163","Personal Eventing Protocol","Draft","Yes","Unknown","Unknown","No","Yes","Yes","No","Yes","Yes","Yes"
"P67","0168","Resource Application Priority","Deferred","Unknown","Unknown","Unknown","No","No","No","No","Unknown","No","Unknown"
"P68","0170","Recommended Order of Stream Feature Negotiation","Approved","Yes","Yes","Yes","Yes","Yes","No","Yes","Unknown","Yes","Unknown"
"P69","0171","Language Translation","Draft","Unknown","Unknown","Unknown","No","No","No","No","Unknown","Unknown","Unknown"
"P70","0172","User Nickname","Draft","No","Unknown","Unknown","No","Yes","No","No","Unknown","Unknown","Unknown"
"P71","0175","Best Practices for Use of SASL ANONYMOUS","Approved","Yes","Unknown","Unknown","Yes","Yes","No","Yes","Yes","Yes","Yes"
"P72","0176","Jingle ICE-UDP Transport Method","Draft","Yes","Unknown","Unknown","No","Unknown","No","No","Unknown","Unknown","Unknown"
"P73","0178","Best Practices for Use of SASL EXTERNAL with Certificates","Approved","No","Unknown","Yes","Yes","Yes","No","No","Unknown","No","Unknown"
"P74","0182","Application-Specific Error Conditions","Approved","Unknown","Unknown","Unknown","No","Yes","No","Unknown","Unknown","Yes","Unknown"
"P75","0184","Message Delivery Receipts","Draft","No","Unknown","Unknown","Unknown","Unknown","No","Yes","Unknown","Unknown","Unknown"
"P76","0185","Dialback Key Generation and Validation","Approved","Unknown","Unknown","Yes","Yes","Yes","No","No","Unknown","Yes","Unknown"
"P77","0189","Public Key Publishing","Deferred","Unknown","Unknown","Unknown","No","No","No","No","Unknown","Yes","Unknown"
"P78","0190","Best Practice for Closing Idle Streams","Obsolete","Unknown","Unknown","Unknown","Yes","Yes","No","Unknown","Unknown","No","Unknown"
"P79","0191","Simple Communications Blocking","Draft","Yes","Unknown","Unknown","Yes","No","No","No","Unknown","Contrib.","Unknown"
"P80","0192","Proposed Stream Feature Improvements","Deprecated","Unknown","Unknown","Unknown","Yes","No","No","Unknown","Unknown","Unknown","Unknown"
"P81","0193","Proposed Resource Binding Improvements","Obsolete","Contrib.","Contrib.","Unknown","Yes","No","No","Unknown","Unknown","Unknown","Unknown"
"P82","0194","User Chatting","Deferred","Unknown","Unknown","Unknown","No","Yes","No","No","Unknown","Yes","Unknown"
"P83","0195","User Browsing","Deferred","Unknown","Unknown","Unknown","No","Yes","No","No","Unknown","Yes","Unknown"
"P84","0198","Stream Management","Draft","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes","Yes"
"P85","0199","XMPP Ping","Final","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","Yes"
"P86","0202","Entity Time","Final","Yes","Unknown","Unknown","Yes","Yes","No","No","Unknown","Yes","Unknown"
"P87","0203","Delayed Delivery","Final","Yes","Unknown","Unknown","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"P88","0205","Best Practices to Discourage Denial of Service Attacks","Approved","Partial","Yes","Unknown","Yes","Yes","No","Partial","Unknown","No","Unknown"
"P89","0206","XMPP over Bosh","Draft","Yes","Unknown","Unknown","No","Yes","No","Yes","Unknown","Yes","Yes"
"P90","0209","Metacontacts","Deferred","Unknown","Unknown","Unknown","Yes","Yes","No","Yes","Unknown","Yes","Unknown"
"P91","0212","XMPP Basic Server 2008","Obsolete","Yes","Unknown","Unknown","Yes","Unknown","Yes","Yes","Unknown","Yes","Unknown"
"P92","0214","File Repository and Sharing","Deferred","Unknown","Unknown","Unknown","No","No","No","No","Unknown","No","Unknown"
"P93","0215","External Service Discovery","Deferred","No","No","Unknown","No","Yes","No","No","Unknown","No","Unknown"
"P94","0216","XMPP Intermediate IM Server 2008","Obsolete","Yes","Unknown","Unknown","Yes","Unknown","No","No","Unknown","Yes","Unknown"
"P95","0220","Server Dialback","Experimental","Unknown","Unknown","Unknown","Yes","Yes","Yes","Unknown","Unknown","Yes","Yes"
"P96","0221","Data Forms Media Element","Draft","Unknown","Unknown","Unknown","No","No","No","Unknown","Unknown","No","Unknown"
"P97","0223","Persistent Storage of Private Data via PubSub","Approved","Partial","Yes","Unknown","No","No","No","No","Unknown","Unknown","Unknown"
"P98","0225","Component Connections","Deferred","No","Unknown","Unknown","Yes","No","No","No","Unknown","No","Yes"
"P99","0227","Portable Import/Export Format for XMPP-IM Servers (proposed)","Draft","Yes","Unknown","Unknown","No","No","Yes","No","Unknown","Yes","Unknown"
"P100","0230","Service Discovery Notifications","Deferred","Unknown","Unknown","Unknown","No","No","No","No","Unknown","No","Unknown"
"P101","0232","Software Information","Deferred","Unknown","Unknown","Unknown","Yes","No","No","No","Unknown","No","Unknown"
"P102","0233","Use of Domain-Based Service Names in XMPP SASL Negotiation","Experimental","Unknown","Unknown","Unknown","No","No","No","No","Unknown","No","Unknown"
"P103","0235","OAuth Over XMPP","Deferred","Unknown","Unknown","Unknown","No","No","No","No","Unknown","No","Unknown"
"P104","0236","Abuse Reporting","Retracted","Unknown","Unknown","Unknown","No","No","No","No","Unknown","No","Unknown"
"P105","0237","Roster Versioning","Draft","Yes","Unknown","Unknown","Yes","Yes","Yes","Yes","Unknown","Yes","Yes"
"P106","0238","XMPP Protocol Flows for Inter-Domain Federation","Deferred","Unknown","Unknown","Unknown","Yes","Unknown","No","Unknown","Unknown","Unknown","Unknown"
"P107","0241","Encryption of Archived Messages","Deferred","Unknown","Unknown","Unknown","No","No","No","No","Unknown","No","Unknown"
"P108","0243","XMPP Server Compliance 2009","Draft","Yes","Unknown","Unknown","Yes","Yes","Yes","No","Unknown","Yes","Unknown"
"P109","0248","PubSub Collection Nodes","Experimental","Yes","Unknown","Unknown","No","No","No","No","Unknown","No","Partial"
"P110","0252","BOSH Script Syntax","Deferred","Unknown","Unknown","Unknown","No","Yes","No","No","Unknown","No","Unknown"
"P111","0253","PubSub Chaining","Deferred","Unknown","Unknown","Unknown","No","No","No","No","Unknown","No","Partial"
"P112","0254","PubSub Queueing","Deferred","Unknown","Unknown","Unknown","No","No","No","No","Unknown","No","Unknown"
"P113","0255","Location Query","Deferred","Unknown","Unknown","Unknown","No","No","No","No","Unknown","No","Unknown"
"P114","0256","Last Activity in Presence","Draft","Unknown","Unknown","Unknown","No","No","No","Unknown","Unknown","No","Unknown"
"P115","0257","Client Certificate Management for SASL EXTERNAL","Deferred","Unknown","Unknown","Unknown","No","No","No","No","Unknown","Contrib.","Unknown"
"P116","0258","Security Labels in XMPP","Draft","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","No","Unknown","Contrib.","Unknown"
"P117","0259","Message Mine-ing","Deferred","Unknown","Unknown","Unknown","No","No","No","No","Unknown","No","Unknown"
"P118","0268","Incident Handling","Experimental","Unknown","Unknown","Unknown","Unknown","Yes","No","No","Unknown","Contrib.","Unknown"
"P119","0270","XMPP Compliance Suites 2010","Draft","Yes","Unknown","Unknown","No","Yes","Yes","No","Unknown","Unknown","Unknown"
"P120","0273","Stanza Interception and Filtering Technology (SIFT)","Draft","Unknown","Unknown","Unknown","Unknown","Partial","No","No","Unknown","Contrib.","Unknown"
"P121","0278","Jingle Relay Nodes","Experimental","Yes","Unknown","Unknown","No","Yes","No","No","Unknown","Unknown","Unknown"
"P122","0279","Server IP Check","Deferred","Yes","Unknown","Unknown","No","Yes","No","Yes","Unknown","Contrib.","Unknown"
"P123","0280","Message Carbons","Experimental","Yes","Unknown","Unknown","Unknown","Yes","No","Yes","Unknown","Contrib.","Yes"
"P124","0288","Bidirectional Server-to-Server Connections","Draft","Unknown","Unknown","Unknown","Unknown","Yes","Yes","No","Unknown","Unknown","Unknown"
"P125","0289","Federated MUC for Constrained Environments","Draft","Unknown","Unknown","Unknown","Unknown","No","Yes","No","Unknown","Unknown","Unknown"
"P126","0302","XMPP Compliance Suites 2012","Deferred","Unknown","Unknown","Unknown","Unknown","Yes","No","No","Unknown","Unknown","Unknown"
"P127","0309","Service Directories","Deferred","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","No","Unknown","Unknown","Unknown"
"P128","0313","Message Archive Management","Experimental","Unknown","Unknown","Unknown","Unknown","Yes","No","Yes","Unknown","Contrib.","Unknown"
"P129","0321","Remote Roster Management","Deferred","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","No","Unknown","Unknown","Unknown"
"P130","","","","","","","","","","","","",""
