"Operating system","Mandatory access control","Software executable space protection","Operating system-level virtualization","Virtualisation","Userspace protection","Others"
"Linux","style=""background:#9F9;vertical-align:middle;text-align:center;"" class=""table-yes""|z1","PaX style=""background:#9F9;vertical-align:middle;text-align:center;"" class=""table-yes""|z1","Linux-VServer, OpenVZ
style=""background:#9F9;vertical-align:middle;text-align:center;"" class=""table-yes""|z1","KVM","IPFilter, Iptables","grsecurity, RSBAC"
"FreeBSD","style=""background:#9F9;vertical-align:middle;text-align:center;"" class=""table-yes""|z3 TrustedBSD","style=""background:#9F9;vertical-align:middle;text-align:center;"" class=""table-yes""|z5","jail","","IPFW, PF",""
"Darwin","SEDarwin, TrustedBSD","","jail","","IPFW",""
"OpenBSD","","style=""background:#9F9;vertical-align:middle;text-align:center;"" class=""table-yes""|z6","","","PF",""
"OpenSolaris","TrustedBSD","","Solaris Containers","KVM","IPFilter","RBAC"
"AuroraUX","TrustedBSD","","Solaris Containers","","IPFilter",""
"Plan 9","No","No","per-process namespaces","","",""
"Inferno","No","No","per-process namespaces","","",""
