"Name","Release date","Latest version","Status support","Source model","Codename","OS required","Architecture","Editions","Target market"
"Windows 1.0 DR5","Pre-release version","0.9 (1984)","Unsupported
(1985)","Closed source","Interface Manager","DOS 2.2 Only","16-bit","","Desktops"
"Windows 1.0","1985-11-20","1.04 (1987-04-08)","Unsupported
(2001-12-31)","Closed source","Interface Manager","DOS 2.0 or higher","16-bit","","Desktops"
"Windows 2.0","1987-12-09","2.03 (1987-12-09)","Unsupported
(2001-12-31)","Closed source","","?","16-bit","","Desktops"
"Windows 2.1x","1988-05-27","2.11 (1989-03-13)","Unsupported
(2001-12-31)","Closed source","","?","16-bit","","Desktops"
"Windows 3.0","1990-05-22","3.0a with
Multimedia Extensions
(1991-10-20)","Unsupported
(2001-12-31)","Closed source","","DOS 3.1 or higher","16-bit","Windows 3.0
Windows 3.0a
Windows 3.0a with Multimedia Extensions","Desktops"
"Windows 3.1x","1992-04-06","3.11 (1993-12-31)","Unsupported
(2001-12-31)","Closed source","*3.1: Janus
3.1 for Workgroups: Kato
3.11: Snowball (LB)
3.11 for Workgroups: Sparta","DOS 3.3 or higher","16-bit*","Windows 3.1 (build 040)
Windows for Workgroups 3.1
Windows 3.11
Windows for Workgroups 3.11
Windows 3.2 (Simplified Chinese only)","Desktops"
