"Model","Launch","Code name","Fab (nm)","Transistors (Million)","Die Size (mm)","Bus interface","Memory (MB)","Clock rate","Clock rate","Config core","Fillrate","Fillrate","Memory","Memory","Memory","Processing Power
GFLOPS","Processing Power
GFLOPS","TDP (W)","TDP (W)","GFLOPS/W
Single Precision","API support (version)","API support (version)","API support (version)","Release Price (USD)"
"Model","Launch","Code name","Fab (nm)","Transistors (Million)","Die Size (mm)","Bus interface","Memory (MB)","Core (MHz)","Memory (MHz)","Config core","Texture (GT/s)","Bandwidth (GB/s)","Bus type","Bus width (bit)","Single Precision","Double Precision","Idle","Max.","DirectX","GFLOPS/W
Single Precision","OpenCL","","","Release Price (USD)"
"Radeon HD 3410","May 7, 2009","RV610","65","180","85","PCIe 1.0 x16","256","519","396","40:4:4","2.08","2.08","6.34","DDR2","64","41.52","No","","20","","10.0","3.3","1.0","?"
"Radeon HD 3450","Jan 23, 2008","RV620 LE","55","181","67","PCIe 2.0 x16
PCI
AGP 8x","256
512","600","500","40:4:4","2.40","2.40","8.00","DDR2","64","48.0","No","","25","1.92","10.1","3.3","1.0","?"
"Radeon HD 3470","Jan 23, 2008","RV620 PRO","55","181","67","PCIe 2.0 x16","256
512","800","950","40:4:4","3.20","3.20","15.2","DDR2
GDDR3","64","64.0","No","","30","2.13","10.1","3.3","1.0","?"
"Radeon HD 3550","Aug 4, 2008","RV620 PRO","55","181","67","PCIe 2.0 x16","512","594","396","40:4:4","2.38","2.38","6.34","DDR2","64","47.52","No","","30","","10.1","3.3","1.0","?"
"Radeon HD 3570","Jul 5, 2010","RV620 PRO","55","181","67","PCIe 2.0 x16","512","796","495","40:4:4","3.18","3.18","7.92","DDR2","64","63.68","No","","30","","10.1","3.3","1.0","?"
"Radeon HD 3610","Sep 24, 2009","RV630 PRO","65","390","153","PCIe 1.0 x16","512
1024","594","396","120:8:4","2.38","4.75","12.7","DDR2","128","142.6","No","","35","","10.1","3.3","1.0","?"
"Radeon HD 3650","Jan 23, 2008","RV635 PRO","55","378","132","PCIe 2.0 x16
AGP 8x","256
512
1024","725","405
800","120:8:4","2.90","5.80","13.0
25.6","DDR2
GDDR3
GDDR4","128","174.0","No","","65","2.68","10.1","3.3","1.0","?"
"Radeon HD 3730","Oct 5, 2008","RV635 PRO","55","378","135","PCIe 2.0 x16","512","722","405","120:8:4","2.89","5.78","13.0","DDR2","128","173.3","No","","65","","10.1","3.3","1.0","?"
"Radeon HD 3750","Oct 5, 2008","RV635 PRO","55","378","135","PCIe 2.0 x16","512","796","693","120:8:4","3.18","6.37","22.2","GDDR3","128","191.0","No","","65","","10.1","3.3","1.0","?"
"Radeon HD 3830","Apr 1, 2008","RV670 PRO","55","666","192","PCIe 2.0 x16","256","668","828","320:16:16","10.7","10.7","26.5","GDDR3","128","427.5","85.4","","75","","10.1","3.3","1.0","?"
"Radeon HD 3850","Nov 19, 2007","RV670 PRO","55","666","192","PCIe 2.0 x16
AGP 8x","256
512
1024","668","830
900","320:16:16","10.7","10.7","53.1
57.6","GDDR3
GDDR4","256","427.5","85.4","","75","","10.1","3.3","1.0","179"
"Radeon HD 3870","Nov 19, 2007","RV670 XT","55","666","192","PCIe 2.0 x16
AGP 8x","512
1024","777
777","900
1126","320:16:16","12.4","12.4","57.6
72.1","GDDR3
GDDR4","256","497.3","99.2","","106","4.68","10.1","3.3","1.0","269"
"Radeon HD 3850 X2","Apr 4, 2008","RV670 PRO","55","666×2","192×2","PCIe 2.0 x16","512×2","668","828","320:16:16×2","10.7×2","10.7×2","53.0×2","GDDR3","256×2","855.0","171","","140","6.11","10.1","3.3","1.0","349"
"Radeon HD 3870 X2","Jan 28, 2008","R680","55","666×2","192×2","PCIe 2.0 x16","512×2","825
825","900
1125","320:16:16×2","13.2×2","13.2×2","57.6×2
72.0×2","GDDR3
GDDR4","256×2","1056","211.2","","165","6.4","10.1","3.3","1.0","449"
