"Products","","Trident","Tasman","Gecko","WebKit","KHTML","Presto","iCab"
"P10","","3.1","","1.0","","","1.0",""
"P11","","3.1","","1.0","","","1.0",""
"P12","","3.1","","1.0","","","1.0",""
"P6","","3.1","Yes","1.0","Yes","Yes","1.0","Yes"
"P13","","3.1","","1.0","","","1.0",""
"P14","","3.1","","1.0","","","1.0",""
"P15","","3.1","","1.0","","","1.0",""
"P16","","3.1","","1.0","","","1.0",""
"P17","","3.1","","1.0","","","1.0",""
"P7","","3.1","Yes","1.0","Yes","Yes","1.0","Yes"
"P8","","3.1","Yes","1.0","Yes","Yes","1.0","Yes"
"P1","Basic structure","Basic structure","Basic structure","Basic structure","Basic structure","Basic structure","Basic structure","Basic structure"
"P2","Metadata","Metadata","Metadata","Metadata","Metadata","Metadata","Metadata","Metadata"
"P3","Headings","Headings","Headings","Headings","Headings","Headings","Headings","Headings"
"P4","Grouping elements","Grouping elements","Grouping elements","Grouping elements","Grouping elements","Grouping elements","Grouping elements","Grouping elements"
"P5","","3.1","Yes","1.0","Yes","Yes","1.0","Yes"
"P9","","3.1","","1.0","","","1.0",""
