"Products","Model","Launch","Code name","Fab (nm)","Transistors (Million)","Die Size (mm)","Die Count","Bus interface","Memory (MB)","SMX count","Core config","Clock rate","Clock rate","Clock rate","Clock rate","Fillrate","Fillrate","Memory Configuration","Memory Configuration","Memory Configuration","API support (version)","API support (version)","API support (version)","Processing Power (peak) 
 GFLOPS","Processing Power (peak) 
 GFLOPS","TDP (watts)","GFLOPS/W","GFLOPS/W","Release Price (USD)"
"Products","Model","Launch","Code name","Fab (nm)","Transistors (Million)","Die Size (mm)","Die Count","Bus interface","Memory (MB)","SMX count","Core config","Base (MHz)","Average Boost (MHz)","Max Boost (MHz)","Memory (MHz)","Pixel (GP/s)","Texture (GT/s)","Bandwidth (GB/s)","DRAM type","Bus width (bit)","DirectX","OpenGL","OpenCL","Single Precision","Double Precision","TDP (watts)","Double Precision","","Release Price (USD)"
"P22","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P1","GeForce GT 705","March 27, 2014","GF119-300-A1","40","292","79","1","PCIe 2.0 x16","512
1024","1","48:8:4","810","N/A","N/A","898
(1796)","3.24","6.5","14.4","DDR3","64","11.0","4.5","1.1","155.5","Unknown","29","5.18","Unknown","OEM"
"P2","GeForce GT 710","Mar 27, 2014","GK208-301-A1","28","1020","79","1","PCIe 2.0 x8","512","1","192:16:8","823","N/A","N/A","900 (1800)","6.6","13.2","14.4","DDR3","64","11.0","4.5","1.2","316","Unknown","","","Unknown","OEM"
"P3","GeForce GT 720","Mar 27, 2014","GK208","28","1020","79","1","PCIe 2.0 x8","1024
2048","2","192:16:8","797","N/A","N/A","900 (1800)","6.4","12.8","14.4","DDR3","64","11.0","4.5","1.2","306","No","19","16.1","N/A","$49–59"
"P4","GeForce GT 730
(64b DDR3)","June 18, 2014","GK208-301-A1","28","1020","79","1","PCIe 2.0 ×8","1024
2048
4096","2","384:32:8","902","N/A","N/A","900
(1800)","7.22","28.8","14.4","DDR3","64","11.0","4.5","1.2","692.7","No","23","30.12","N/A","$69–79"
"P5","GeForce GT 730
(128b DDR3)","June 18, 2014","GF108","40","585","116","1","PCIe 2.0 ×16","1024
2048
4096","2","96:16:4","700","N/A","N/A","900
(1800)","2.8","11.2","28.8","DDR3","128","11.0","4.5","1.1","268.8","No","49","5.49","N/A","$69–79"
"P6","GeForce GT 730 (GDDR5)","June 18, 2014","GK208-400-A1","28","1020","79","1","PCIe 2.0 x8","1024","2","384:32:8","902","N/A","N/A","1250
(5000)","7.22","28.8","40.0","GDDR5","64","11.0","4.5","1.2","692.7","No","38","18.23","N/A","$69–79"
"P7","GeForce GT 740 (DDR3)","May 29, 2014","GK107-425-A2","28","1270","118","1","PCIe 3.0 x16","1024
2048
4096","2","384:32:16","993","N/A","N/A","891
(1782)","15.9","31.8","28.5","DDR3","128","11.0","4.5","1.2","762.6","Unknown","64","11.9","Unknown","$89–99"
"P8","GeForce GT 740 (GDDR5)","May 29, 2014","GK107-425-A2","28","1270","118","1","PCIe 3.0 x16","1024
2048
4096","2","384:32:16","993","N/A","N/A","1252
(5008)","15.9","31.8","80.1","GDDR5","128","11.0","4.5","1.2","762.6","Unknown","64","11.9","Unknown","$89–99"
"P9","GeForce GTX 745","February 18, 2014","GM107-300-A2","28","1870","148","1","PCIe 3.0 x16","1024
4096","3","384:24:16","1033","Unknown","Unknown","900
(1800)","16.5","24.8","28.8","DDR3","128","11.2","4.5","1.2","793.3","24.8","55","14.4","0.45","OEM"
"P10","GeForce GTX 750","February 18, 2014","GM107-300-A2","28","1870","148","1","PCIe 3.0 x16","1024
2048","4","512:32:16","1020","1085","1163","1250
(5000)","16.3","32.6","80","GDDR5","128","11.2","4.5","1.2","1044","32.6","55","19","0.59","$119"
"P11","GeForce GTX 750 Ti","February 18, 2014","GM107-400-A2","28","1870","148","1","PCIe 3.0 x16","2048
4096","5","640:40:16","1020","1085","1200","1350
(5400)","16.3","40.8","88","GDDR5","128","11.2","4.5","1.2","1306","40.8","60","21.8","0.68","$149"
"P12","GeForce GTX 760 192-bit","Unknown","GK104","28","3540","294","1","PCIe 3.0 x16","1536
3072","6","1152:96:24","823","888","Unknown","1450
(5800)","19.8","79","134","GDDR5","192","11.0","4.5","1.2","1896","79","130","14.6","0.60","OEM"
"P13","GeForce GTX 760","June 25, 2013","GK104-225-A2","28","3540","294","1","PCIe 3.0 x16","2048
4096","6","1152:96:32","980","1033","1124","1502
(6008)","31.4","94","192.3","GDDR5","256","11.0","4.5","1.2","2257","94","170","13.3","0.55","$249 ($219)"
"P14","GeForce GTX 760 Ti","Unknown","GK104","28","3540","294","1","PCIe 3.0 x16","2048","7","1344:112:32","915","980","1084","1502
(6008)","29.3","102.5","192.3","GDDR5","256","11.0","4.5","1.2","2460","103","170","14.5","0.60","OEM"
"P15","GeForce GTX 770","May 30, 2013","GK104-425-A2","28","3540","294","1","PCIe 3.0 x16","2048
4096","8","1536:128:32","1046","1085","1130","1752.5
(7010)","33.5","134","224","GDDR5","256","11.0","4.5","1.2","3213","134","230","14.0","0.58","$399 ($329)"
"P16","GeForce GTX 780","May 23, 2013","GK110-300-A1","28","7080","561","1","PCIe 3.0 x16","3072
6144","12","2304:192:48","863","900","1002","1502
(6008)","41.4","160.5","288.4","GDDR5","384","11.0","4.5","1.2","3977","166","250","15.9","0.66","$649 ($499)"
"P17","GeForce GTX 780 Ti","Nov 7, 2013","GK110-425-B1","28","7080","561","1","PCIe 3.0 x16","3072","15","2880:240:48","876","928","1019","1752.5
(7010)","42.0","210.2","336.5","GDDR5","384","11.0","4.5","1.2","5046","210","250","20.2","0.84","$699"
