"","Creator(s)","First public release date","Latest stable version","Cost (USD)","Software license"
"7-Zip","Igor Pavlov","January 2, 1999; 16 years ago","9.20 (November 18, 2010; 4 years ago)","Free","LGPL (RAR plugin is proprietary)"
"ALZip","ESTsoft","1999; 16 years ago
 (as a WinZip translation)","8.51.0.0 (September 9, 2011; 3 years ago)","A free general serial number was published on developer's website altools.com in August 2012","Proprietary"
"ALZip for Mac","ESTsoft","1999; 16 years ago
 (as a WinZip translation)","1.11 (June 13, 2012; 2 years ago)","A free general serial number was published on developer's website altools.com in August 2012","Proprietary"
"Archive Utility","Apple Inc.","October 24, 2003; 11 years ago","10.10 (October 16, 2014; 7 months ago)","Included with Mac OS X Core Services","Proprietary"
"Ark","KDE team","Unknown","2.19
August 1, 2012; 2 years ago","Free","GPL"
"B1 Free Archiver","Adam Buyer","August 2011; 3 years ago","1.5.86
November 25, 2013; 18 months ago","Free","Proprietary"
"BetterZip","BetterZip","May 2006; 9 years ago","2.3.4 (December 1, 2014; 6 months ago)","$19.95 USD","Proprietary"
"Bitser","Bitser","January 1, 2009; 6 years ago","1.3
January 11, 2015; 4 months ago","Free","Proprietary"
"Compressed Folders","Microsoft Inc.","June 25, 1998; 16 years ago","Windows 8.1
August 27, 2013; 21 months ago","Included in Microsoft Windows Windows Explorer shell since Windows 98.","Proprietary"
"Disk ARchiver","Denis Corbin","2002; 13 years ago","2.4.17
January 31, 2015; 4 months ago","Free","GPL"
"Expander","Haiku, Inc.","2002; 13 years ago","R1 Alpha 4.1 (November 14, 2012)","Free","MIT"
"File Roller","Paolo Bacchilega","Unknown","3.8.3 (July 2, 2013; 22 months ago)","Free","GPL"
"Filzip","Philipp Engel","Unknown","3.06 (July 19, 2006; 8 years ago)","Free","Proprietary"
"FreeArc","Bulat Ziganshin","November 1, 2007; 7 years ago
v0.36","0.666
(May 20, 2010; 5 years ago)","Free","GPL"
"iArchiver","Dare to be Creative Ltd.","October 21, 2007; 7 years ago","1.4.1
October 30, 2008; 6 years ago","$26","Proprietary"
"Info-ZIP (Wzip)","Samuel Smith","March 1989; 26 years ago","6.0
April 29, 2009; 6 years ago","Free","BSD-like"
"IZArc","IZSoftware","Unknown","4.1.9
August 23, 2014; 9 months ago","Free","Proprietary"
"KGB Archiver","Tomasz Pawlak","April 1, 2006; 9 years ago","1.2.1.24 November 1, 2006; 8 years ago","Free","GPL"
"PeaZip","Giorgio Tani","September 16, 2006; 8 years ago","5.6.0
April 26, 2015; 46 days ago","Free","LGPL"
"PKZIP","Phil Katz","1989; 26 years ago","12.4
(ca. September 2009; 5 years ago)","$29.00","Proprietary"
"PowerArchiver","ConexWare","March 1999; 16 years ago","15.00.41
January 21, 2015; 4 months ago","$19.95","Proprietary"
"StuffIt","Smith Micro Software","1987; 28 years ago","15.0.7
December 1, 2011; 3 years ago","Free expander; $49.99 Deluxe, $79.99 French Deluxe; Windows: $14.99 Standard, $29.99 Deluxe, $49.99 French (or German) Deluxe","Proprietary"
"TAR","AT&T","1979; 36 years ago","GNU tar: various (there are various tar implementations) (various) ; star: 1.5.3; BSD tar: 2.6.0","Free","Various"
"The Unarchiver","Circlesoft","July 1, 2006; 8 years ago","3.9.1
October 4, 2013; 19 months ago","Free","LGPL"
"TUGZip","Christian Kindahl","August 18, 2002; 12 years ago","3.5.0.0
April 2, 2008; 7 years ago","Free","Proprietary"
"WinAce","e-merge GmbH","Unknown","2.69
November 23, 2007; 7 years ago","Free expander (GNU/Linux & Mac only); $29.00 Standard; $39.00 Plus","Proprietary"
"WinRAR","Eugene Roshal / Alexander Roshal","1993; 22 years ago","5.21 (February 16, 2015; 3 months ago)","Free expander; $29","Proprietary"
"WinZip","WinZip Computing, Inc","1991; 24 years ago","19.5.11475 (April 30, 2015; 42 days ago)","$29.95 Standard; $49.95 Pro","Proprietary"
"XAD a.k.a. XADMaster.library","Dirk Stoecker","1998; 17 years ago","13.1","Shareware, Free for non commercial use","Proprietary"
"Xarchiver","Giuseppe Torelli","Unknown","0.5.4
September 14, 2014; 8 months ago","Free","GPL"
"ZipGenius","Matteo Riso of M.Dev Software","May 2003; 12 years ago","6.3.2.3112
August 8, 2014; 9 months ago","Free","Proprietary"
"","","","","",""
