"Products","","Max DB size","Max table size","Max row size","Max columns per row","Max Blob/Clob size","Max CHAR size","Max NUMBER size","Min DATE value","Max DATE value","Max column name size"
"P39","","Max DB size","Max table size","Max row size","Max columns per row","Max Blob/Clob size","Max CHAR size","Max NUMBER size","Min DATE value","Max DATE value","Max column name size"
"P1","4th Dimension","Limited","?","?","65,135","200 GB (2 GiB Unicode)","200 GB (2 GiB Unicode)","64 bits","?","?","?"
"P2","Advantage Database Server","Unlimited","16 EiB","65,530 B","65,135 / (10+ AvgFieldNameLength)","4 GiB","?","64 bits","?","?","128"
"P3","Apache Derby","Unlimited","Unlimited","Unlimited","1,012 (5,000 in views)","2,147,483,647 chars","254 (VARCHAR: 32,672)","64 bits","0001-01-01","9999-12-31","128"
"P4","ClustrixDB","Unlimited","Unlimited","64 MB on Appliance, 4 MB on AWS","?","64 MB","64 MB","64 MB","0001-01-01","9999-12-31","254"
"P5","CUBRID","2 EB","2 EB","Unlimited","6400","Unlimited","1 GB","64 bits","0001-01-01","9999-12-31","254"
"P6","Drizzle","Unlimited","64 TB","8 KB","1,000","4 GB (longtext, longblob)","64 KB (text)","64 bits","0001","9999","64"
"P7","DB2","Unlimited","2 ZB","32,677 B","1,012","2 GB","32 KiB)","64 bits","0001-01-01","9999-12-31","128"
"P8","Empress Embedded Database","Unlimited","2-1 bytes","2 GB","32,767","2 GB","2 GB","64 bits","0000-01-01","9999-12-31","32"
"P9","EXASolution","Unlimited","Unlimited","Unlimited","10,000","N/A","2 MB","128 bits","0001-01-01","9999-12-31","256"
"P10","FileMaker","8 TB","8 TB","8 TB","256,000,000","4 GB","10^9 characters","10^9 numbers w/ range 10^-400 to 10^400","0001-01-01","4000-12-31","100"
"P11","Firebird","Unlimited","~32 TB","65,536 B","Depends on data types used","2 GB","32,767 B","64 bits","100","32768","31"
"P12","HSQLDB","64 TB","Unlimited","Unlimited","Unlimited","64 TB","Unlimited","Unlimited","0001-01-01","9999-12-31","128"
"P13","H2","64 TB","Unlimited","Unlimited","Unlimited","64 TB","Unlimited","64 bits","-99999999","99999999","Unlimited"
"P14","Informix Dynamic Server","~128 PB","~128 PB","32,765 bytes (exclusive of large objects)","32,765","4 TB","32,765","10","01/01/0001","12/31/9999","128 bytes"
"P15","Ingres","Unlimited","Unlimited","256 KB","1,024","2 GB","32 000 B","64 bits","0001","9999","256"
"P16","InterBase","Unlimited","~32 TB","65,536 B","Depends on data types used","2 GB","32,767 B","64 bits","100","32768","31"
"P17","Linter SQL RDBMS","Unlimited","2 rows","64 KB (w/o BLOBs), 4 GB (BLOB)","250","4 GB","4 KB","64 bits","0001-01-01","9999-12-31","66"
