"Products","","Trident","Tasman","Gecko","WebKit","KHTML","Presto","iCab"
"P6","","3.1","Yes","1.0","Yes","Yes","1.0","Yes"
"P10","","3.1","","1.0","","","1.0",""
"P7","","3.1","Yes","1.0","Yes","Yes","1.0","Yes"
"P8","","3.1","Yes","1.0","Yes","Yes","1.0","Yes"
"P1","Element identifiers","Element identifiers","Element identifiers","Element identifiers","Element identifiers","Element identifiers","Element identifiers","Element identifiers"
"P2","Inline styles","Inline styles","Inline styles","Inline styles","Inline styles","Inline styles","Inline styles","Inline styles"
"P3","Advisory information","Advisory information","Advisory information","Advisory information","Advisory information","Advisory information","Advisory information","Advisory information"
"P4","Language information","Language information","Language information","Language information","Language information","Language information","Language information","Language information"
"P5","","3.1","Yes","1.0","Yes","Yes","1.0","Yes"
"P9","","3.1","","1.0","","","1.0",""
