"Products","Name","Creator","FOSS","Free","First public release date","Year of latest stable version","Windows","Macintosh","Linux","Other platforms","Max Supported File Size"
"P33","","","","","","","","","","",""
"P1","Araxis Merge","Araxis Ltd","No; Proprietary","No £79/169 GBP Standard/Pro","","2014-12-17","Yes","Yes","No","No",">2GB (64bit)"
"P2","Beyond Compare","Scooter Software","No; Proprietary","No; $US30 (std), 50 (pro)","1996","2015 (v4.0.7)","Yes","Yes","Yes","","< 2GB (32 bits)"
"P3","Compare++","Coode Software","No; Proprietary","No; $29.95, 30-day free trial","2010","2013 (v2.15)","Yes","No","No","",""
"P4","diff, diff3","AT&T","Yes; BSD 3-clause, BSD 4-clause, CDDL, GPL, Proprietary","Yes","1974","","Yes","Yes (Mac OS X)","Yes","ported to most platforms as part of SCCS","> 2GB but less than 64 bits"
"P5","SG DiffMerge","SourceGear","No; Proprietary","No; $US19","2003","2013-10 (4.2.0)","Yes","Yes","Yes","",""
"P6","DiffTool","Ludwig Gruber","No; Proprietary","Yes; (on Google Play Store)","2014","2015 (1.57)","No","No","No","Android",""
"P7","Diffuse","Derrick Moser","Yes; GPL","Yes","2006","2014-07 (0.4.8)","Yes","Yes","Yes","Anything with PyGtk+",""
"P8","Eclipse (compare)","","Yes; Eclipse Public License","Yes","2004-07-21","2014-09-26","Yes","Yes","Yes","Anything with Java",""
"P9","Ediff","Michael Kifer","Yes; GPL","Yes","1994","2.81.4","Yes","Yes (Mac OS X)","Yes","Anything with Emacs",""
"P10","ExamDiff Pro","PrestoSoft","No; Proprietary","No; $35, free file-only version","1998","2014 (v7.0.1.6)","Yes (Win98 and up)","No","No","",""
"P11","Far Manager (compare)","Eugene Roshal (original); FAR Group","No; Revised BSD license","Yes","1996","2014 August (v 3.0 build 4040)","Yes","No","No","",""
"P12","fc","Microsoft","No; Proprietary","Yes; Part of OS","1987","","Yes (DOS)","No","No","",""
"P13","FileMerge","Apple Inc.","No; Proprietary","Yes; (part of Apple Developer Tools)","1993 (part of NEXTSTEP 3.2)","2014 (v2.8)","No","Yes (Mac OS X)","No","",""
"P14","Guiffy SureMerge","Guiffy Software","No; Proprietary","No; $37.50(Pro), 75(eXpert)","2000","2015 March (v11.1)","Yes","Yes","Yes","Anything with Java","> 2GB"
"P15","IntelliJ IDEA (compare)","JetBrains","No; Proprietary","No","","2007 (v6.0.5)","Yes","Yes","Yes","",""
"P16","jEdit JDiff plugin","Various","Yes; GPL","Yes","1998","2012 (3.3.0)","Yes","Yes","Yes","Anything with Java",""
"P17","KDiff3","Joachim Eibl","Yes; GPL","Yes","2002","2014-07 (0.9.98)","Yes","Yes","Yes","Qt4 or Qt5",""
"P18","Kompare","Otto Bruggeman","Yes; GPLv2+","Yes","","","Yes","Yes (Mac OS X)","Yes","",""
"P19","Lazarus Diff","Lazarus (software)","Yes; GPL","Yes","2000","2009","Yes","Yes","Yes","FreeBSD",""
"P20","Meld","Stephen Kennedy","Yes; GPLv2+","Yes","2002","2014-12-30 (v3.12.3)","Yes","Yes","Yes","BSD, Solaris",""
"P21","Notepad++ (compare)","Various","Yes; GPLv3","Yes","2009","2015-01-06 (1.5.6.6)","Yes","No","No","",""
"P22","Perforce P4Merge","Perforce","No; Proprietary","Yes","","2014 (2014.3)","Yes","Yes","Yes","Sun Solaris",""
"P23","Pretty Diff","Austin Cheney","No; MIT-compatible","Yes","2009","2014-11-26","Yes (Web)","Yes (Web)","Yes (Web)","Node.js, Windows Script Host",""
"P24","Tkdiff","Tkdiff","Yes; GPLv2+","Yes","2003 (or before)","2011-11-27 (v4.2)","Yes (Tcl)","Yes (Tcl)","Yes (Tcl)","Anything with Tcl",""
"P25","Total Commander (compare)","Christian Ghisler","No; Proprietary","No","","2010-12-17 (v7.56a)","Yes","No","No","",""
"P26","twdiff (TextWrangler Diff Helper)","Bare Bones Software, Inc.","No; Proprietary","Yes; with TextWrangler","","2012 (1.0 (v22))","No","Yes","No","No",""
"P27","vimdiff","Bram Moolenaar et al.","No; GPL-compatible","Yes","2001","2006-05-07 (v7.0)","Yes","Yes","Yes","Anything with vim",""
"P28","WinDiff","Microsoft","No; Proprietary","Yes; Part of Platform SDK","1992","16.08.2002 14:36:14 (v5.00.2195.6601)","Yes","No","No","No",""
"P29","WinMerge","Dean Grimm","Yes; GPL","Yes","1998","2013-02-03 (v2.14.0)","Yes (Win95 and up)","No","No","","2 GB"
"P30","UCC","USC CSSE","No; USC-CSSE Limited Public License","Yes","2009","2010-07","Yes","Yes","Yes {2.6.9}","Sun Solaris",""
"P31","UltraCompare","IDM Computer Solutions, Inc.","No; Proprietary","No; $24.95, 30-day free trial","","2014 (v15)","Yes","Yes","Yes","",""
"P32","","","","","","","","","","",""
