" ","AccDC","Ample SDK","AngularJS","Atoms.js","CupQ","DHTMLX","Dojo","Echo3","Ember.js","Enyo","Ext JS","Google Web Toolkit","jQuery","Kendo UI","midori","MochiKit","MooTools","OpenUI5","PhoneJS","Prototype & script. aculo.us","Pyjamas","qooxdoo","Rialto Toolkit","Rico","SmartClient and SmartGWT","SproutCore","Wakanda","YUI","ZK","Webix"
"Feature detection","Yes","No","Yes","Yes","Yes","No","Yes","No","Yes","","Yes","No","Yes","Yes","No","No","Yes","","Yes","No","","Yes","No","No","Partial","Yes","Partial","Yes","No","Yes"
"DOM wrapped","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","","Yes","No","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes"
"XMLHttpRequest
data retrieval","Yes","Yes","Yes","Yes","No","Yes","Yes","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","","Yes"
"WebSocket","Yes","Yes","","Yes","No","Yes","Yes","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Via Plugin","Yes","Yes","","Yes"
"Server push data retrieval","Yes","","","","","","Yes","","","","Yes","Yes","Yes","","","","","","Yes","","","","","","Yes","Via Plugin","","Via Plugin","Yes",""
"Other data retrieval","Yes: XML, HTML","Yes: XML","","Yes:  XML, HTML,CSV","","Yes: XML, CSV, HTML","Yes: XML, HTML, CSV, ATOM","","","","Yes: XML, SOAP, AMF, Ext.Direct","Yes: RPC, RequestFactory","Yes: XML, HTML","Yes: XML, JSON, SOAP, REST, OData","","","Yes: XML, HTML","","Yes: XML, HTML, OData, REST","","","","","","Yes: XML, WSDL, RSS, and Java-based SQL, Hibernate, POJO adapters","","Yes: JSON-RPC, Wakanda REST","Yes","","Yes:  XML, HTML,CSV"
"Drag and drop","Yes: With keyboard accessibility","Yes","","","No","Yes","Yes","Yes","","","Yes","With plugin","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Depends","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Simple visual effects","Yes","Yes","Yes","Yes","No","Yes","Yes","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Animation / 
 advanced visual effects","","Yes","Yes","CSS","No","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Back button support / 
 history management","","Yes","","Yes","No","No","Yes","","Yes","Yes","Yes","Yes","With plugins","Yes","Yes","","With plugin","","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","","Yes","Yes","Yes"
"Input form widgets & validation","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","","Yes","Yes","Yes, Validation requires plugin","With plugins","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"","AccDC","Ample SDK","AngularJS","Atoms.js","CupQ","DHTMLX","Dojo","Echo3","Ember.js","Enyo","ExtJS","Google Web Toolkit","jQuery","Kendo UI","midori","MochiKit","MooTools","OpenUI5","PhoneJS","Prototype & script. aculo.us","Pyjamas","qooxdoo","Rialto Toolkit","Rico","SmartClient and SmartGWT","SproutCore","Wakanda","YUI","ZK","Webix"
"Grid","Yes","Yes","","Template","No","Yes","Yes","Yes","","","Yes","Yes","With plugins","Yes","No","","With plugin","Yes","With plugins","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
