"IDE","License","Windows","Linux","Mac OS X","Other platforms"
"Eclipse JDT","EPL","Yes","Yes","Yes","FreeBSD, JVM, Solaris"
"IntelliJ IDEA","ASLv2, proprietary","Yes","Yes","Yes","FreeBSD, OpenBSD, Solaris"
"NetBeans","CDDL, GPL2","Yes","Yes","Yes","Solaris"
