"Features","10-Strike","Cacoo","Cade","Concept Draw Pro","Creately","Dia","draw.io","Edraw","Gliffy","grafShare","LanFlow","Microsoft Visio","Network Notepad","SmartDraw","Lucidchart"
"Rack icons","Yes","No","No","Yes","Yes","No","Yes","No","Yes","Yes","No","Yes","No","Yes","Yes"
"Physical Servers icons","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Virtual Servers icons","No","No","No","No","No","No","Yes","No","No","No","No","No","Yes","No","Yes"
"Storage icons","Yes","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes"
"General network icons","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Cisco network icons","No","No","No","Yes","No","No","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes"
"Network Services (e.g. Email Server icons)","Yes","No","No","Yes","No","No","Yes","Yes","No","No","No","Yes","No","No","No"
"Peripheral icons (e.g. desktop, printers)","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Telecommunications icons","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes"
"Isometric 3D icons","Yes","Yes","No","Yes","No","No","No","Yes","No","No","No","Yes","No","Yes","No"
"Amazon cloud (AWS) icons","No","Yes","No","Yes","Yes","No","Yes","No","No","No","No","Yes","No","No","Yes"
