"Products","Name","Manufacturer","Release","Size","Type","Capacity (GB)","Storage","External","Dimensions (mm × mm)","Depth (mm)","Weight (g)","Firmware"
"P1","Archos 105","Archos","2007-08-31","","DAP","2","Flash","SDHC","85 × 45","7","50","1.6.07"
"P2","Archos 405","Archos","2007-09-01","Mini","PMP","2","Flash","SDHC","99.6 × 78","13.2","119.07","1.8.03"
"P3","Archos 405","Archos","2008-02-07","Mini","PMP","30","HDD","","100 × 78","15","191","1.8.03"
"P4","Archos 5","Archos","2008-08-19","Mid","PMP","120/500","HDD","8–32 GB and Micro SD Slot (SDHC compatible)","127 × 78.8","19.4","300","1.6.53"
"P5","Archos 605 WiFi/GPS","Archos","2007-09-01","Mid","PMP","4","Flash","SDHC","122 mm × 81","15","150","1.8.03"
"P6","Archos 605 WiFi/GPS","Archos","2007-09-01","Mid","PMP","30/80/160","HDD","","122 mm × 81","15","190","1.8.03"
"P7","Archos 705 WiFi","Archos","2007-11-27","Mega","PMP","80/160","HDD","","182 × 128","19.69","630","1.8.03"
"P8","Cowon A3","Cowon","2007-11-14","Mid","PMP","30/60/80","HDD","","133.4 × 78.5","22","280","1.24"
"P9","Cowon D2","Cowon","2006-12-05","Micro","PMP","2/4/8/16","Flash","SDHC","78.0 × 55.4","16.6","91.0","2.57"
"P10","Cowon Q5W","Cowon","2007-11-30","Mid","PMP","40/60/80","HDD","","138.8 × 88.5","20","380","1.5"
"P11","Cowon O2PMP","Cowon","","Mid","PMP","8/16/32","Flash","","119 mm × 73","18","205",""
"P12","Gigabeat T-Series","Toshiba","2007-09-25","Micro","PMP fack","4","Flash","","2.13 × 3.38","15","58.11","No release"
"P13","GP2X F-200","GamePark Holdings","2007-10-28","Mid","PMP, HGC","64","","SDHC","144 mm × 83","34","161","4.0.0"
"P14","iPod classic 6G","Apple","2007-09-07","Mini","DAP","160","HDD","","104 mm × 61","10","140","1.1.2"
"P15","iPod nano 6G","Apple","2010-09-08","Micro","DAP","8/16","Flash","","38 mm × 41","8.9","21","1.2"
"P16","iPod touch 5G","Apple","2012-10-09","Mini","PMP","32/64","Flash","","123.4 x 58.6","6.1","88","8.1.1"
"P17","iriver clix 2G","ReignCom","2007-04-24","Micro","PMP","2/4/8","Flash","","80 mm × 47","8.1–12.7","54","1.07"
"P18","PSP Slim & Lite","Sony","2007-08-30","Mid","PMP, HGC","64","","Memory Stick","170 mm × 74","18","189","6.10"
"P19","Samsung Galaxy Player 4.0 & 5.0","Samsung","2011-10-16","Mid","PMP","8/16","Flash","microSDHC","123.7 x 64.2 (4.0), 141.3 x 78.2 (5.0)","9.9 (4.0), 11.9 (5.0)","121 (4.0), 182 (5.0)","2.3.5"
"P20","Samsung T10","Samsung","2007-09","","DAP","2/4/8","Flash","","96 × 41.4","7.9","43","3.06"
"P21","Samsung P2","Samsung","2007-09","","DAP","4/8","Flash","","100 × 52","9.9","83","5.10"
"P22","Sansa Fuze","SanDisk","2008-03-17","","DAP","2/4/8","Flash","microSDHC","78.7 × 48.3","7.6","59.5","01.02.28 & 02.03.33"
"P23","Sansa Fuze+","SanDisk","2010-09-01","","PMP","4/8/16","Flash","microSD microSDHC","96.5 × 50.7","11.1","170","02.38.06"
"P24","Sansa View","SanDisk","2007-10-26","","PMP","8/16/32","Flash","microSDHC","109 mm × 50","10","82","01.03.02a"
"P25","Walkman NWZ-A820 series","Sony","2008-03-28","","DAP","4/8/16","Flash","","89 mm × 43","10","54","1.02"
"P26","Walkman NWZ-E580 series","Sony","2013-07-10","","DAP","8/16","","","42.1 x 92.1","8","49",""
"P27","ZEN","Creative","2007-09-14","Micro","PMP","2/4/8/16/32","Flash","SDHC","83 mm × 55","11","65","1.21.01"
"P28","ZEN X-Fi","Creative","2008-07-10","Micro","PMP","8/16/32","Flash","SD","83 mm × 55","13","69","1.03.01"
"P29","ZEN Vision W","Creative","2006-08-30","Mid","PMP","30/60","HDD","CF","134 mm × 75","22","276","1.10.01"
"P30","Zune 30","Microsoft","2006-11-14","Mid","PMP","30","HDD","","112 mm × 61","15","160","3.3"
"P31","Zune 4/8","Microsoft","2007-11-13","Micro","PMP","4/8","Flash","","91 mm × 41","8.4","47","3.3"
"P32","Zune 16","Microsoft","2008-09-16","Micro","PMP","16","Flash","","91 mm × 41","8.4","47","3.3"
"P33","Zune 80","Microsoft","2007-11-13","Mid","PMP","80","HDD","","108 mm × 61","13","128","3.3"
"P34","Zune 120","Microsoft","2008-09-16","Mid","PMP","120","HDD","","108 mm × 61","13","128","3.3"
"P35","Zune HD","Microsoft","2009-09-15","Mini","PMP","16/32/64","Flash","","104 mm × 53","8.9","74","4.5"
"P36","Zvue 260","Zvue","2007-07-17","","DAP","None","HDD","SDHC","106 mm × 65","13","120","2.80 I_071012"
"P37","","","","","","","","","","","",""
