"Model","Code Name","Release Date","Processors Supported","Fabrication
process (nm)","FSB/HT
Frequency (MHz)","Memory","PCI-Express","SLI","PCI","USB","PATA","SATA","LAN","Sound","Features","Notes"
"GeForce 9100M","","2008","Core2 Mobile, Celeron Mobile","","1066 MHz","DDR3-1066
dual channel","2.0
20 lanes","No","5 Ports","12 Ports Rev 2.0","No","4 Ports 3.0Gbit/s","1000 Mbit/s","HDA","Onboard GeForce 9100M",""
"GeForce 9400M","","2008","Core2 Mobile, Celeron Mobile","","1066 MHz","DDR3-1066
dual channel","2.0
20 lanes","x8+x8","5 Ports","12 Ports Rev 2.0","No","6 Ports 3.0Gbit/s","1000 Mbit/s","HDA","Onboard GeForce 9400M",""
