"","Version","Operating systems","Office suite","Developer","License","ECMA-376","ISO/IEC 29500:2008","Notes"
"DataViz Sheet To Go","11.000","Palm OS, Windows Mobile, Symbian (UIQ, S80)","Documents To Go","DataViz","Proprietary","Yes","",""
"EIOffice Spreadsheet","2009, 5.0.1272.101","Windows, Linux","EIOffice","Evermore Software","Proprietary","Yes","","Import only"
"Gnumeric","1.8","Linux, Unix, Windows","","GNOME","GPL","Yes","","Incomplete support"
"Go-oo Calc","3.0.0","Windows, Linux, Unix, Mac OS X","Go-oo","Free software community","LGPL, CDDL","Yes","","Import only"
"Google Docs","(current)","Web application","Google Docs","Google","Proprietary","Yes","",""
"IBM Lotus Symphony","1.3","Windows, Mac OS X, Linux","IBM Lotus Symphony","IBM","Proprietary","Yes","","Import only"
"Kingsoft Office Spreadsheets","2009, 6.3.0.1733","Windows","Kingsoft Office","Kingsoft","Proprietary","Yes","","Import only beta support"
"LibreOffice","All versions","Windows, OS X, Linux, Unix, Android","","The Document Foundation","MPL","Yes","Yes",""
"Microsoft Office Excel","2013, 2011 for Mac","Windows, Mac OS X","Microsoft Office","Microsoft","Proprietary","Yes","Yes",""
"Microsoft Office Mobile Excel Mobile","6.1","Windows Mobile","Microsoft Office Mobile","Microsoft","Proprietary","Yes","",""
"Microsoft Works Spreadsheet","9","Windows","Microsoft Works","Microsoft","Proprietary","Yes","Yes",""
"NeoOffice Calc","2.2.5","Mac OS X","NeoOffice","Patrick Luby and Edward Peterlin","GPL","Yes","",""
"Numbers","'08","Mac OS X","iWork","Apple Inc.","Proprietary","Yes","",""
"OpenOffice.org Calc","3.0","Windows, Linux, Unix, Mac OS X","OpenOffice.org","OpenOffice.org","LGPL","Yes","","Import only"
"Quattro Pro","X4 (2008)","Windows","WordPerfect Office","Corel","Proprietary","Yes","","Import only"
"StarOffice Calc","9","Windows, Linux, Solaris","StarOffice","Sun Microsystems","Proprietary","Yes","","Import only"
"Thinkfree Office Calc","","Windows, Mac OS X, Linux","Thinkfree Office","ThinkFree Corp","Proprietary","Yes","",""
"","Version","Operating systems","Office suite","Developer","License","ECMA-376","ISO/IEC 29500:2008","Notes"
