"","Standalone executable creation support","Symbolic computation support","OOP support","GUI creation support","Multi-dimensional arrays as primitive data type","Centralized extension library website","Can call code in other languages","Can be called from other languages"
"Dyalog APL","Yes","Yes","Yes","Win32, .NET, WPF, HTML/JS","Yes","Yes","COM, .NET, WebServices, Shared Libraries, DLL, NAG, R, JavaScript","COM, .NET, WebServices"
"J","No","Yes","Yes","Yes","Yes","Yes","Javascript","Javascript"
"Julia","No","No","Yes","Yes","Yes","Yes","","C/C++"
"Maple","No","Yes","Yes","Yes","Yes","Yes","C, C#, Fortran","MATLAB, Excel, VisualBasic, Java, and C"
"Mathematica","Yes","Yes","Yes","Yes","Yes","Yes","Java, .NET, C++, Fortran, CUDA, OpenCL, R",""
"MATLAB","with extension","with extension library","Yes","Yes","Yes","Yes","",".NET, Java, Excel"
"GNU Data Language","No","No","Yes","GUI Widgets since v.0.9 but still incomplete","Yes","No","C, Python","Python"
"GNU Octave","Yes with mkoctfile","only with GiNaC extension","Yes","GUI Octave code can be used","Yes","Yes","C++, Fortran, Perl, Tcl","Java, Perl, C++"
"PDL","Yes","No","Yes","Yes","Yes","Yes","C via perlXS; C, Python, F77, etc. via Inline","Perl, C"
"R","No","Yes and extended via Ryacas package","Yes","Via the tcltk library","Yes","Yes","",""
"Sage","No","Yes","Yes","No","Yes","Yes","Many languages","Yes (any language that can call Python)"
"SAS","No","No","DS2 and SCL","Yes","No","No","","No"
"DataMelt","Yes","Yes","Yes","Yes","Yes","Yes","Java","Yes (any language that can call Java)"
"TK Solver","with extension","No","Yes","with extension","Yes","Yes",".NET Excel",""
