"Name","Raster image (JPEG, TIFF, etc.)","Flash viewer","Java viewer","QTVR","HTML 5*","Notes"
"Panoweaver Standard / Professional","Yes","Yes","Yes","Yes","Yes","Includes free Flash and HTML5 viewer."
"Dermandar","Yes","Yes","No","No","Yes","Includes free Flash and HTML5 viewer."
"i2Align Quickage Express / Pro","Yes","No","No","No","No",""
"Pixtra PanoStitcher","Yes","Yes","Yes","Yes","No","Includes ActiveX viewer & export."
"Pixtra OmniStitcher","Yes","Yes","Yes","Yes","No","Includes ActiveX viewer & export."
"PhotoFit Harmony / Premium","Yes","No","No","Yes","No",""
"PanoramaPlus X4","Yes","No","No","Yes","No","Flickr export."
"PanoramaBuilder 7.0 / PanoramaBuilder 7.0 Pro","Yes","Yes*","No","No","No","(*) Planar viewer."
"360 Panorama Professional","Yes","No","Yes","Yes","No",""
"VRstitcher Fisheye Pro","Yes","No","Yes","?","No",""
"COOL 360","Yes","No","No","Yes","No","Embedding of panoramas into executables () and Microsoft Office files. ActiveX viewer."
"PanaVue ImageAssembler Std. / Pro. / Ent.","Yes","Yes","Yes","Yes","No",""
"The Panorama Factory v5","Yes","No","Yes","Yes","No",""
"PixMaker Lite / Home / Business","Yes","?","?","?","No",""
"PTAssembler","Yes","No","No","No","No",""
"PTgui / PTgui Pro","Yes","No","No","Yes","Yes",""
"Autopano Pro / Giga / Server","Yes","Yes","No","No","No",""
"Autostitch","Yes","No","No","No","No",""
"Calico","Yes","No","?","?","?",""
"hugin","Yes","No","No","No","No",""
"3DVista Stitcher 3.0","Yes","No","No","No","No",""
"D Joiner","Yes","?","Yes","No","No",""
"Panorama Maker 6","Yes","Yes","Yes","Yes","No",""
"Photovista Panorama","Yes","No","Yes","No","No","IVR export."
"PanoramaStudio 2 / pro","Yes","Yes","Yes","No","No",""
"Stitcher Unlimited 2009","Yes","Yes","Yes","Yes","No","VRML export."
"ADG Panorama Tools / Pro","Yes","No","Yes","Yes","No",""
"Panorama Composer 3","Yes","Yes","Yes","Yes","No","Includes ActiveX viewer & export."
"Image Composite Editor","Yes","No","No","No","No","Publish to Photosynth website, Silverlight based viewer."
"Panorama Perfect","Yes","No","No","No","No",""
"Photoshop","Yes","No","No","No","No",""
"AIPR Lite 1","Yes","No","No","No","No",""
"Gigapan Stitch 1.0","Yes","Yes","No","No","No","3D viewer in stitcher / Publishing to gigapan.org 2D flash viewer / Embeddable flash viewer"
"PanoramaMaker","Yes","No","No","No","No",""
"PanoEdit","Yes","No","No","No","No",""
"SharpStitch","Yes","No","No","No","No",""
"","","","","","",""
