"","constructor","destructor","finalizer"
"ABAP Objects","","N/A",""
"C++ (STL)","","",""
"C#","","",""
"D","","",""
"Java","","",""
"Eiffel","","",""
"Objective-C (Cocoa)","","",""
"Swift","","",""
"Python","","",""
"Visual Basic .NET","","",""
"Xojo","","",""
"PHP","","",""
"Perl","","",""
"Perl 6","","",""
"Ruby","","N/A",""
"Windows PowerShell","N/A","",""
"OCaml","","N/A",""
"F#","","",""
"JavaScript","","N/A",""
"JavaScript (ES6)","constructor(«parameters») { instructions }","",""
"COBOL","N/A","N/A",""
"Cobra","","",""
