"Products","Name","Creator","Initial public release","Predecessor","Current stable version","Release date","Cost, availability","Preferred license","Target system type"
"P35","Solaris","Sun","1992","SunOS","11.2","2014, April 29","Commercial; (but free/no-cost perpetual license when used ""for the purpose of developing, testing, prototyping and demonstrating your applications"")","CDDL","Server, workstation"
"P36","Symbian","Symbian Ltd.","1998","EPOC32","9.5","2009","Discontinued; Commercial","Proprietary","Phones"
"P37","Symbian platform","Symbian Foundation","2010","Symbian","3.0.4","2010","Free","EPL","embedded"
"P38","Windows Server (NT family)","Microsoft","1993","OS/2, MS-DOS and Windows 3.x","Windows Server 2012 R2 (NT 6.3.9600)","2013, October 18","US$469 Web Server; other editions dependent on number of CALs purchased","Proprietary; Shared Source","Server, NAS, embedded, HPC"
"P39","Windows (NT family)","Microsoft","1993","OS/2, Windows 9x and MS-DOS","Windows 8.1 (NT 6.3.9600)","2013, October 17","Windows 8.1 US$119.99, Windows 8.1 Pro $199.99","Proprietary; Shared Source","Workstation, personal computer, media center, Tablet PC, embedded"
"P40","Windows (classic 9x family)","Microsoft","1995","MS-DOS, Windows NT 3.5","Windows Me (Win 4.90.3000)","2000","Discontinued","Proprietary","Personal computer, media center"
"P41","RISC iX","Acorn Computers","1988","BSD 4.3","1.21c","1993","Discontinued; Was bundled with hardware","Proprietary","Workstation"
"P42","RISC OS","Acorn Computers","1987","Arthur, also the BBC Master OS","3.71","1997","Discontinued; Was bundled with hardware","Proprietary","Education, personal computer"
"P43","RISC OS","RISCOS Ltd, Pace plc","1999","RISC OS 4","4.39","2004","Bundled with hardware, then sold separately at £70 (US$127)","Proprietary","Education, personal computer"
"P44","RISC OS","Castle Technology, RISC OS Open","2002","RISC OS 5","5.20","2013","Free for non-commercial use (recent releases); formerly bundled with hardware","Shared Source","Education, personal computer"
"P45","RISC OS","RISCOS Ltd","2006","RISC OS 6","6.20","2009","Bundled with hardware, then sold separately at £70 (US$127)","Proprietary","Education, personal computer"
"P46","ZETA","yellowTAB","2005","BeOS R5","1.5","2007","Discontinued","Proprietary","Personal computer, media center, workstation"
"P47","STOP 6, XTS-400","BAE Systems","2003","STOP 5, XTS-300","6.5","2008, August","US$60k+; bundled with XTS hardware and OEM licensed","Proprietary","Server, workstation"
"P48","ReactOS","ReactOS development team","1996","Windows NT","0.3.17","2014, November 6","Free","GNU GPL, GNU LGPL","Workstation, personal computer"
"P49","VxWorks","Wind River Systems","1987","VRTX","7","2014 March","Paid","Proprietary","Embedded Real-time systems"
"P50","z/OS","IBM","2000","OS/390","2.1 (V2R1)","2013, September 30","Monthly license fee, about US$130 and up","Proprietary","IBM mainframe"
"P51","z/VSE","IBM","2007","VSE/ESA","5.2","2014, April 7","Monthly license fee","Proprietary","IBM mainframe"
"P52","z/VM","IBM","2000","VM","6.3","2013, July 23","Monthly license fee","Proprietary","IBM mainframe"
"P53","HP NonStop","HP","1974","Guardian","H06.24/J06.13","2012","Non-free","Proprietary","HP Nonstop Servers"
"P54","Name","Creator","Initial public release","Predecessor","Current stable version","Release date","Cost, availability","Preferred license","Target system type"
