"Model","Code name","Fab (nm)","Bus interface","Memory (MB)","Core clock (MHz)","Shader clock (MHz)","Memory clock (MHz)","Core config","Fillrate","Fillrate","Memory","Memory","Memory","Processing Power
GFLOPS","Processing Power
GFLOPS","API support (version)","API support (version)","TDP (watts)","Notes"
"Model","Code name","Fab (nm)","Bus interface","Memory (MB)","Core clock (MHz)","Shader clock (MHz)","Memory clock (MHz)","Core config","Pixel (GP/s)","Texture (GT/s)","Bandwidth (GB/s)","Bus type","Bus width (bit)","Single Precision","Double Precision","DirectX","OpenGL","TDP (watts)","Notes"
"Quadro FX 350","G72GL","90","PCIe x16","128","550","550","810","3:4:4:2","1.1","1.1","6.48","DDR2","64","","","9.0c","2.1","21",""
"Quadro FX 550","NV43GL","90","PCIe x16","128","360","360","800","4:8:8:8","2.88","2.88","12.8","GDDR3","128","","","9.0c","2.1","25",""
"Quadro FX 1500","G71","90","PCIe x16","256","375","375","800","7:20:20:16","6","7.5","40.0","GDDR3","256","","","9.0c","2.1","65",""
"Quadro FX 3500","G71GL","90","PCIe x16","256","470","470","1320","7:20:20:16","7.52","9.4","42.2","GDDR3","256","","","9.0c","2.1","80","Stereo display, SLI"
"Quadro FX 4500","G70","110","PCIe x16","512","470","470","1050","8:24:24:16","7.52","11.28","33.6","GDDR3","256","","","9.0c","2.1","109","Stereo display, SLI, Genlock"
"Quadro FX 4500X2","G70","110","PCIe x16","1024","470","470","1050","2x 8:24:24:16","15.04","22.56","33.6","GDDR3","256","","","9.0c","2.1","145","Stereo display, Genlock"
"Quadro FX 4500 SDI","G70","110","PCIe x16","512","470","470","1050","8:24:24:16","7.52","11.28","33.6","GDDR3","256","","","9.0c","2.1","116","Stereo display, Genlock"
"Quadro FX 5500","G71","90","PCIe x16","1024","700","700","1050","8:24:24:16","11.2","16.8","33.6","GDDR3","256","","","9.0c","2.1","96","Stereo display, SLI, Genlock"
"Quadro FX 5500 SDI","G71","90","PCIe x16","1024","700","700","1050","8:24:24:16","11.2","16.8","33.6","GDDR3","256","","","9.0c","2.1","104","Stereo display, SLI, Genlock"
