"Meaning and description","Spanish","Portuguese"
"'yes'","sí","sim [sĩ]"
"'himself' / 'herself' / 'itself' / 'themselves' 
 (stressed reflexive pronoun, object of preposition)","sí","si"
"'if' (conjunction)","si","se"
"'himself' / 'herself' / 'itself' / 'themselves' 
 (unstressed reflexive pronoun)","se","se"
