"Model","Launch","Model Number","Code name","Fab (nm)","Bus interface","Memory (MB)","Clock rate","Clock rate","Clock rate","Config core","Fillrate","Fillrate","Memory","Memory","Memory","Processing Power GFLOPs","API compliance (version)","API compliance (version)","TDP (Watts)GPU only"
"Model","Launch","Model Number","Code name","Fab (nm)","Bus interface","Memory (MB)","Core (MHz)","Boost (MHz)","Memory (MHz)","Config core","Texture (GT/s)","Bandwidth (GB/s)","Bus type","Bus width (bit)","DirectX","Processing Power GFLOPs","","","TDP (Watts)GPU only"
"Radeon R5 M230","2014","Jet Pro","Oland","28","PCIe 3.0 x8","2048
4096","780","855","1000","320:20:4","3.4","17.1","16","DDR3","64","547","11.2","4.3","Unknown"
"Radeon R5 M255","June 2014","Jet Pro","Oland","28","PCIe 3.0 x8","2048
4096","Unknown","940","1000","320:20:8","7.5","18.8","16","DDR3","64","601","11.2","4.3","Unknown"
"Radeon R7 M260","June 2014","Opal","Oland","28","PCIe 3.0 x8","2048
4096","Unknown","715
980","1000","384:24:8","5.7
7.8","17.2
23.5","32
16","DDR3","128
64","549.1
752.6","11.2","4.3","Unknown"
"Radeon R7 M260X","June 2014","Opal","Oland","28","PCIe 3.0 x8","2048
4096","Unknown","715","1000","384:24:8","5.7","17.2","64","GDDR5","128","549","11.2","4.3","Unknown"
"Radeon R7 M265","May 1, 2014","Opal XT","Oland","28","PCIe 3.0 x8","2048
4096","725","825","1000","384:24:8","6.6","19.8","16
32","DDR3","64
128","633.6","11.2","4.3","Unknown"
"Radeon R9 M265X","May 1, 2014","Venus Pro","Cape Verde","28","PCIe 3.0 x16","2048
4096","575","625","1125","640:40:16","10","25","72","GDDR5","128","800","11.2","4.3","Unknown"
"Radeon R9 M270X","May 1, 2014","Venus XT","Cape Verde","28","PCIe 3.0 x16","2048
4096","725","775","1125","640:40:16","12.4","31","72","GDDR5","128","992","11.2","4.3","Unknown"
"Radeon R9 M275X","May 1, 2014","Venus XTX","Cape Verde","28","PCIe 3.0 x16","2048
4096","900","925","1125","640:40:16","14.8","37","72","GDDR5","128","1184","11.2","4.3","50"
"Radeon R9 M280X","Feb 9, 2015","Saturn XT","Bonaire","28","PCIe 3.0 x16","2048
4096","900","1000","1375","896:56:16","16","56","88","GDDR5","128","1792","11.2","4.3","~75"
"Radeon R9 M290X","May 1, 2014","Neptune XT","Pitcairn","28","PCIe 3.0 x16","4096","850","900","1200","1280:80:32","28.8","72","153.6","GDDR5","256","2176-2304","11.2","4.3","100"
"Radeon R9 M295X","2014","","Tonga","28","PCIe 3.0 x16","4096","750","800","1375","2048:128:32","25.6","102.4","176","GDDR5","256","3276.8","11.2","4.3","125"
